id,question,sparql,answer,answer,frame
69,Qual è la nazionalità di Barnum Brown?,select  ?o    {    <http://dbpedia.org/resource/Barnum_Brown> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
70,Qual era la nazionalità di Barry Diller?,select  ?o    {    <http://dbpedia.org/resource/Barry_Diller> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
71,Qual è la nazionalità di Barry Diller?,select  ?o    {    <http://dbpedia.org/resource/Barry_Diller> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
72,Qual era la nazionalità di Barry Eichengreen?,select  ?o    {    <http://dbpedia.org/resource/Barry_Eichengreen> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
73,Qual è la nazionalità di Barry Eichengreen?,select  ?o    {    <http://dbpedia.org/resource/Barry_Eichengreen> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
74,Qual era la nazionalità di Barry Vincent Jackson?,select  ?o    {    <http://dbpedia.org/resource/Barry_Jackson_(director)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/England,Inghilterra,NPP
75,Qual è la nazionalità di Barry Vincent Jackson?,select  ?o    {    <http://dbpedia.org/resource/Barry_Jackson_(director)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/England,Inghilterra,NPP
76,Qual era la nazionalità di Barry McGuigan?,select  ?o    {    <http://dbpedia.org/resource/Barry_McGuigan> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Republic_of_Ireland,Irlanda,NPP
77,Qual è la nazionalità di Barry McGuigan?,select  ?o    {    <http://dbpedia.org/resource/Barry_McGuigan> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Republic_of_Ireland,Irlanda,NPP
78,Qual era la nazionalità di Barry Shabaka Henley?,select  ?o    {    <http://dbpedia.org/resource/Barry_Shabaka_Henley> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
79,Qual è la nazionalità di Barry Shabaka Henley?,select  ?o    {    <http://dbpedia.org/resource/Barry_Shabaka_Henley> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
80,Qual era la nazionalità di Barry Smith motociclista?,select  ?o    {    <http://dbpedia.org/resource/Barry_Smith_(motorcyclist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Australia,Australia,NPP
81,Qual è la nazionalità di Barry Smith motociclista?,select  ?o    {    <http://dbpedia.org/resource/Barry_Smith_(motorcyclist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Australia,Australia,NPP
82,Qual era la nazionalità di Barry Smith filosofo?,select  ?o    {    <http://dbpedia.org/resource/Barry_Smith_(ontologist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_Kingdom,Gran Bretagna,NPP
83,Qual è la nazionalità di Barry Smith filosofo?,select  ?o    {    <http://dbpedia.org/resource/Barry_Smith_(ontologist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_Kingdom,Gran Bretagna,NPP
84,Qual era la nazionalità di Bart Staes?,select  ?o    {    <http://dbpedia.org/resource/Bart_Staes> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
85,Qual è la nazionalità di Bart Staes?,select  ?o    {    <http://dbpedia.org/resource/Bart_Staes> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
86,Qual era la nazionalità di Bartholomeus Breenbergh?,select  ?o    {    <http://dbpedia.org/resource/Bartholomeus_Breenbergh> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Dutch_people,Olandesi,NPP
87,Qual è la nazionalità di Bartholomeus Breenbergh?,select  ?o    {    <http://dbpedia.org/resource/Bartholomeus_Breenbergh> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Dutch_people,Olandesi,NPP
88,Qual era la nazionalità di Bartolomeo di Costantinopoli?,select  ?o    {    <http://dbpedia.org/resource/Bartholomew_I_of_Constantinople> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Turkey,Turchia,NPP
89,Qual è la nazionalità di Bartolomeo di Costantinopoli?,select  ?o    {    <http://dbpedia.org/resource/Bartholomew_I_of_Constantinople> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Turkey,Turchia,NPP
90,Qual era la nazionalità di Barthélemy Boganda?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Boganda> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Central_African_Republic,Repubblica Centrafricana,NPP
91,Qual è la nazionalità di Barthélemy Boganda?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Boganda> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Central_African_Republic,Repubblica Centrafricana,NPP
92,Qual era la nazionalità di Barthélemy Charles Joseph Dumortier?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Charles_Joseph_Dumortier> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
93,Qual è la nazionalità di Barthélemy Charles Joseph Dumortier?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Charles_Joseph_Dumortier> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
94,Qual era la nazionalità di Barthélemy Faujas de Saint-Fond?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Faujas_de_Saint-Fond> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/France,Franca (San Paolo),NPP
95,Qual è la nazionalità di Barthélemy Faujas de Saint-Fond?,select  ?o    {    <http://dbpedia.org/resource/Barthélemy_Faujas_de_Saint-Fond> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/France,Franca (San Paolo),NPP
96,Qual era la nazionalità di Bartolomeo Bulgarini?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Bulgarini> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
97,Qual è la nazionalità di Bartolomeo Bulgarini?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Bulgarini> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
98,Qual era la nazionalità di Bartolomeo Cesi pittore?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Cesi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
99,Qual è la nazionalità di Bartolomeo Cesi pittore?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Cesi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
100,Qual era la nazionalità di Bartolomeo Cristofori?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Cristofori> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
101,Qual è la nazionalità di Bartolomeo Cristofori?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Cristofori> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
102,Qual era la nazionalità di Bartolomeo Manfredi?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Manfredi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
103,Qual è la nazionalità di Bartolomeo Manfredi?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeo_Manfredi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
104,Qual era la nazionalità di Bartolomeo Diaz?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeu_Dias> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Portuguese_people,Portoghesi,NPP
105,Qual è la nazionalità di Bartolomeo Diaz?,select  ?o    {    <http://dbpedia.org/resource/Bartolomeu_Dias> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Portuguese_people,Portoghesi,NPP
106,Qual era la nazionalità di Bartolomé Bennassar?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Bennassar> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/French_people,Francesi,NPP
107,Qual è la nazionalità di Bartolomé Bennassar?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Bennassar> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/French_people,Francesi,NPP
108,Qual era la nazionalità di Bartolomé Esteban Murillo?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Esteban_Murillo> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
109,Qual è la nazionalità di Bartolomé Esteban Murillo?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Esteban_Murillo> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
110,Qual era la nazionalità di Bartolomé Mitre?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Mitre> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Argentina,Argentina,NPP
111,Qual è la nazionalità di Bartolomé Mitre?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_Mitre> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Argentina,Argentina,NPP
112,Qual era la nazionalità di Bartolomé Torres Naharro?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_de_Torres_Naharro> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
113,Qual è la nazionalità di Bartolomé Torres Naharro?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_de_Torres_Naharro> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
114,Qual era la nazionalità di Bartolomé de Las Casas?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_de_las_Casas> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spanish_Empire,Impero spagnolo,NPP
115,Qual è la nazionalità di Bartolomé de Las Casas?,select  ?o    {    <http://dbpedia.org/resource/Bartolomé_de_las_Casas> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spanish_Empire,Impero spagnolo,NPP
116,Qual era la nazionalità di Bartosz Kurek?,select  ?o    {    <http://dbpedia.org/resource/Bartosz_Kurek> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Poland,Repubblica Popolare di Polonia,NPP
117,Qual è la nazionalità di Bartosz Kurek?,select  ?o    {    <http://dbpedia.org/resource/Bartosz_Kurek> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Poland,Repubblica Popolare di Polonia,NPP
118,Qual era la nazionalità di Bartosz Piasecki?,select  ?o    {    <http://dbpedia.org/resource/Bartosz_Piasecki> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Norway,Norvegia,NPP
119,Qual è la nazionalità di Bartosz Piasecki?,select  ?o    {    <http://dbpedia.org/resource/Bartosz_Piasecki> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Norway,Norvegia,NPP
120,Qual era la nazionalità di Bartłomiej Bonk?,select  ?o    {    <http://dbpedia.org/resource/Bartłomiej_Bonk> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Poles,Polacchi,NPP
121,Qual è la nazionalità di Bartłomiej Bonk?,select  ?o    {    <http://dbpedia.org/resource/Bartłomiej_Bonk> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Poles,Polacchi,NPP
122,Qual era la nazionalità di Baruj Benacerraf?,select  ?o    {    <http://dbpedia.org/resource/Baruj_Benacerraf> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Venezuela,Venezuela,NPP
