"QALD id"	"QALD original question"	"QALD original SPARQL query"	"QueGG original question"	"QueGG SPARQL query"	"TP"	"FP"	"FN"	"Precision"	"Recall"	"F-Measure"
"24"	"Qual è la nazione più grande al mondo?"	"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1"	"Qual è la nazione più grande al mondo?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"25"	"Chi è il sindaco di Parigi?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . }"	"Chi è il sindaco di Parigi?"	"select  ?o
    {
    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor>  ?o
    }"	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"26"	"Chi è l'allenatore della squadra di hockey di Ankara?"	"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . }"	"Chi è l'allenatore della squadra di hockey di Ankara?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"27"	"Chi è il sindaco della capitale della Polinesia Francese?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}"	"Chi è il sindaco della capitale della Polinesia Francese?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"28"	"Quali premi ha vinto Douglas Hofstadter?"	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}"	"Quali premi ha vinto Douglas Hofstadter?"	""	"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"29"	"Quanto è costato il Lego Movie?"	"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } "	"Quanto è costato il Lego Movie?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"30"	"Dove inizia Piccadilly?"	"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } "	"Dove inizia Piccadilly?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"31"	"Il principe Harry e il principe William hanno gli stessi genitoris?"	"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}"	"Il principe Harry e il principe William hanno gli stessi genitoris?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"32"	"Chi interpretava l'agente Smith in Matrix?"	"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}"	"Chi interpretava l'agente Smith in Matrix?"	""	"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"33"	"Quante lingue sono parlate in Turkmenistan?"	"SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } "	"Quante lingue sono parlate in Turkmenistan?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"34"	"In quali film recitano sia Julia Roberts che Richard Gere?"	"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } "	"In quali film recitano sia Julia Roberts che Richard Gere?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"35"	"In quale stato nasce il Gange?"	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}"	"In quale stato nasce il Gange?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"36"	"In quale anno è nata Rachel Stevens?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } "	"In quale anno è nata Rachel Stevens?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"37"	"Barack Obama è un democratico?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}"	"Barack Obama è un democratico?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"38"	"Dove è nato Bach?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}"	"Dove è nato Bach?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"39"	"Quante volte si è sposata Jane Fonda?"	"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } "	"Quante volte si è sposata Jane Fonda?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"40"	"Chi è stato il primo a scalare il Monte Everest?"	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}"	"Chi è stato il primo a scalare il Monte Everest?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"41"	"Quante persone vivono in Polonia?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  "	"Quante persone vivono in Polonia?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"42"	"Dove si trova il Palazzo di Westminster?"	"SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } "	"Dove si trova il Palazzo di Westminster?"	""	"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"43"	"Christian Bale ha recitato in Batman Begins?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}"	"Christian Bale ha recitato in Batman Begins?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"44"	"In quale stato si trova il lago Limerick?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}"	"In quale stato si trova il lago Limerick?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"45"	"Qual è l'ultimo film con Alec Guinness?"	"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 "	"Qual è l'ultimo film con Alec Guinness?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"46"	"Qual è la montagna più alta d'Australia?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1"	"Qual è la montagna più alta d'Australia?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"47"	"Frank Herbert è ancora vivo?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}"	"Frank Herbert è ancora vivo?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"48"	"Chi ha creato I Griffin?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  "	"Chi ha creato I Griffin?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"49"	"Qual è la lingua ufficiale del Suriname?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}"	"Qual è la lingua ufficiale del Suriname?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"50"	"Chi ha scritto la canzone Hotel California?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . }"	"Chi ha scritto la canzone Hotel California?"	""	"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"51"	"Dammi tutti gli attori che recitano in film diretti da William Shatner."	"SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } "	"Dammi tutti gli attori che recitano in film diretti da William Shatner."	""	"0.0"	"0.0"	"19.0"	"0.0"	"0.0"	"0.0"
"52"	"Cosa c'e' in un biscotto con gocce di cioccolato?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . }"	"Cosa c'e' in un biscotto con gocce di cioccolato?"	""	"0.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"
"53"	"Dammi tutti gli skateboarders professionisti di Svezia."	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}"	"Dammi tutti gli skateboarders professionisti di Svezia."	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"54"	"Di quali ingredienti ho bisogno per la torta di carote?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } "	"Di quali ingredienti ho bisogno per la torta di carote?"	""	"0.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"
"55"	"Neymar gioca per il Real Madrid?"	"ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . }"	"Neymar gioca per il Real Madrid?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"56"	"Quale informatico ha vinto un Oscar?"	"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } "	"Quale informatico ha vinto un Oscar?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"57"	"Quante società sono state fondate nello stesso anno di Google?"	"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } "	"Quante società sono state fondate nello stesso anno di Google?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"58"	"In quale città del Regno Unito si trova il quartier generale del MI6?"	"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}"	"In quale città del Regno Unito si trova il quartier generale del MI6?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"59"	"La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}"	"La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"60"	"Che cosa significa IYCM?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}"	"Che cosa significa IYCM?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"61"	"Quando è scomparsa la dinastia Ming?"	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}"	"Quando è scomparsa la dinastia Ming?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"62"	"Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos!"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}"	"Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos!"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"63"	"Qual è la popolazione totale di Melbourne, Florida?"	"PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT ?uri 
WHERE { 
        <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri .
}"	"Qual è la popolazione totale di Melbourne, Florida?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"64"	"Arnold Schwarzenegger ha frequentato l'Università?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK
WHERE {
        res:Arnold_Schwarzenegger dbo:almaMater ?x .
        ?x rdf:type dbo:University .
}"	"Arnold Schwarzenegger ha frequentato l'Università?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"65"	"In quale stato si trova il Monte Everest?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        res:Mount_Everest dbo:locatedInArea ?uri . 
        ?uri rdf:type dbo:Country .
}"	"In quale stato si trova il Monte Everest?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"66"	"Qual è la città più grande d'Australia?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Australia dbo:largestCity ?uri .
}"	"Qual è la città più grande d'Australia?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"67"	"Dammi tutte le rampe di lancio gestite dalla NASA."	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri rdf:type dbo:LaunchPad .  
        ?uri dbo:operator res:NASA . 
}"	"Dammi tutte le rampe di lancio gestite dalla NASA."	""	"0.0"	"0.0"	"14.0"	"0.0"	"0.0"	"0.0"
"68"	"Chi è il sindaco di Tel Aviv?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Tel_Aviv dbo:leaderName ?uri .
}"	"Chi è il sindaco di Tel Aviv?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"69"	"Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos."	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        ?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}"	"Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos."	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"70"	"Chi ha creato Batman?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?uri . } "	"Chi ha creato Batman?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"71"	"Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . }"	"Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
