LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
rebuild_on,verb,rebuild,,,on,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure)  ?,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
rebuild_in,verb,rebuild,,,in,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
reopen_on,verb,reopen,,,on,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure)  ?,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
reopen_in,verb,reopen,,,in,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
discontinue_on,verb,discontinue,,,on,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,When xsd:date(X) was Y(dbo:Beverage)  ?,SELECT ?X WHERE { Y dbo:discontinued ?X.}
discontinue_in,verb,discontinue,,,in,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,FALSE,SELECT ?X WHERE { Y dbo:discontinued ?X.}
introduced_on,verb,introduce,,,on,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:introduced Y.},-,When xsd:date(X) was Y(dbo:Beverage)  ?,SELECT ?X WHERE { Y dbo:introduced ?X.}
introduced_in,verb,introduce,,,in,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:introduced Y.},-,FALSE,SELECT ?X WHERE { Y dbo:introduced ?X.}
open_on,verb,open,,,on,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:Bridge,xsd:date,-,Which dbo:Bridge(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,When xsd:date(X) was Y(dbo:Bridge)  ?,SELECT ?X WHERE { Y dbo:openingDate ?X.}
open_in,verb,open,,,in,InTransitiveFrame,domain,range,1,dbo:openingYear,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingYear ?X.}
produced_on,verb,produce,,,on,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:date,-,Which dbo:Film(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Film)  ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,,,on,InTransitiveFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:date,-,Which dbo:Album(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Album)  ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,,,in,InTransitiveFrame,domain,range,3,dbo:productionDate,dbo:Song,xsd:date,-,Which dbo:Song(X) was  in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Song)  ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in,verb,produce,,,in,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,,,in,InTransitiveFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,,,in,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Song,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
establish_in,verb,establish,,,in,InTransitiveFrame,domain,range,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:firstPublicationYear Y.},Which xsd:gYear(X) does Y(dbo:PeriodicalLiterature) establish in?,FALSE,SELECT ?X WHERE { Y dbo:firstPublicationYear ?X.}
form_in,verb,form,,,in,InTransitiveFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Band,xsd:date,-,Which dbo:Band(X) was  in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},Which xsd:date(X) does Y(dbo:Band) form in?,When xsd:date(X) was Y(dbo:Band)  ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
born _on,verb,born,,,on,InTransitiveFrame,domain,range,1,dbo:birthDate,dbo:Person,xsd:date,-,Which dbo:Person(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:birthDate Y.},-,When xsd:date(X) was Y(dbo:Person)  ?,SELECT ?X WHERE { Y dbo:birthDate ?X.}
live_in,verb,live,,,in,InTransitiveFrame,domain,range,1,dbo:residence,dbo:Person,dbo:Place,What dbo:Person(X)  in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:residence Y.},Which dbo:Place(X) does Y(dbo:Person) live in?,FALSE,SELECT ?X WHERE { Y dbo:residence ?X.}
die_on,verb,die,,,on,InTransitiveFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,-,Which dbo:Person(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:deathDate Y.},-,When xsd:date(X) was Y(dbo:Person)  ?,SELECT ?X WHERE { Y dbo:deathDate ?X.}
die_from,verb,die,,,from,InTransitiveFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,-,FALSE,SELECT ?X WHERE { ?X dbo:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbo:deathCause ?X.}
-,verb,die,,,from,InTransitiveFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease,What dbo:Person(X)  from Y(dbo:Disease)?,FALSE,SELECT ?X WHERE { ?X dbp:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbp:deathCause ?X.}
take_place_in,verb,take place,,,in,InTransitiveFrame,domain,range,1,dbo:place,dbo:MilitaryConflict,dbo:PopulatedPlace,What dbo:MilitaryConflict(X)  in Y(dbo:PopulatedPlace)?,FALSE,SELECT ?X WHERE { ?X dbo:place Y.},-,FALSE,SELECT ?X WHERE { Y dbo:place ?X.}
-,verb,take place,,,in,InTransitiveFrame,domain,range,2,dbo:date,dbo:MilitaryConflict,xsd:date,What dbo:MilitaryConflict(X)  in Y(xsd:date)?,Which dbo:MilitaryConflict(X) was  in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:date Y.},Which xsd:date(X) does Y(dbo:MilitaryConflict) take place in?,When xsd:date(X) was Y(dbo:MilitaryConflict)  ?,SELECT ?X WHERE { Y dbo:date ?X.}
compose_for,verb,compose,,,for,InTransitiveFrame,domain,range,1,dbo:musicComposer,dbo:Work,dbo:Person,What dbo:Work(X)  for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:musicComposer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:musicComposer ?X.}
-,verb,compose,,,for,InTransitiveFrame,domain,range,2,dbo:composer,dbo:Work,dbo:Person,What dbo:Work(X)  for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:composer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:composer ?X.}
-,verb,compose,,,for,InTransitiveFrame,domain,range,3,dbp:music,dbo:Work,dbo:Person,What dbo:Work(X)  for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:music Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbp:music ?X.}
work_for,verb,work,,,for,InTransitiveFrame,domain,range,1,dbo:keyPerson,dbo:Organisation,dbo:Person,What dbo:Organisation(X)  for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:keyPerson Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbo:keyPerson ?X.}
-,verb,work,,,for,InTransitiveFrame,domain,range,2,dbp:keyPeople,dbo:Organisation,dbo:Person,What dbo:Organisation(X)  for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:keyPeople Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbp:keyPeople ?X.}
bury_in,verb,bury,,,in,InTransitiveFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City,What dbo:Person(X)  in Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:burialPlace Y.},Which dbo:City(X) does Y(dbo:Person) bury in?,FALSE,SELECT ?X WHERE { Y dbp:burialPlace ?X.}
start_acting_on,verb,start acting,,,on,InTransitiveFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Actor,xsd:date,-,Which dbo:Actor(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},-,When xsd:date(X) was Y(dbo:Actor)  ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
stop_acting_on,verb,stop acting,,,on,InTransitiveFrame,domain,range,1,dbo:activeYearsEndYear,dbo:Actor,xsd:date,-,Which dbo:Actor(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsEndYear Y.},-,When xsd:date(X) was Y(dbo:Actor)  ?,SELECT ?X WHERE { Y dbo:activeYearsEndYear ?X.}
fight_in,verb,fight,,,in,InTransitiveFrame,range,domain,1,dbo:combatant,dbo:MilitaryConflict,xsd:string,What xsd:string (Y)  in X(dbo:MilitaryConflict)? ,FALSE,SELECT ?Y WHERE { X dbo:combatant ?Y.},-,FALSE,SELECT ?X WHERE { ?X dbo:combatant Y.}
play_in,verb,play,,,in,InTransitiveFrame,domain,range,1,dbo:member,dbo:Person,dbo:Band,What dbo:Person(X)  in Y(dbo:Band)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Band(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
,verb,play,,,in,InTransitiveFrame,domain,range,2,dbo:member,dbo:Person,dbo:Play,What dbo:Person(X)  in Y(dbo:Play)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Play(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
-,verb,play,,,in,InTransitiveFrame,domain,range,3,dbo:position,dbo:Person,owl:Thing,What dbo:Person(X)  in Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:position Y.},Which owl:Thing(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:position ?X.}
split_up_in,verb,split up,,,in,InTransitiveFrame,domain,range,1,dbo:activeYearsEndYear,dbo:Band,xsd:date,-,Which dbo:Band(X) was  in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsEndYear Y.},Which xsd:date(X) does Y(dbo:Band) split up in?,When xsd:date(X) was Y(dbo:Band)  ?,SELECT ?X WHERE { Y dbo:activeYearsEndYear ?X.}
study_at,verb,study,,,at,InTransitiveFrame,domain,range,1,dbo:education,dbo:Person,dbo:EducationalInstitution,What dbo:Person(X)  at Y(dbo:EducationalInstitution)?,FALSE,SELECT ?X WHERE { ?X dbo:education Y.},Which dbo:EducationalInstitution(X) does Y(dbo:Person) study at?,FALSE,SELECT ?X WHERE { Y dbo:education ?X.}
relate_to,verb,relate,,,to,InTransitiveFrame,domain,range,1,dbo:related,dbo:Beverage,dbo:Beverage,What dbo:Beverage(X)  to Y(dbo:Beverage)?,FALSE,SELECT ?X WHERE { ?X dbo:related Y.},Which dbo:Beverage(X) does Y(dbo:Beverage) relate to?,FALSE,SELECT ?X WHERE { Y dbo:related ?X.}
record_in,verb,record,,,in,InTransitiveFrame,domain,range,1,dbo:recordedIn,dbo:MusicalWork,dbo:PopulatedPlace,What dbo:MusicalWork(X)  in Y(dbo:PopulatedPlace)?,FALSE,SELECT ?X WHERE { ?X dbo:recordedIn Y.},Which dbo:PopulatedPlace(X) does Y(dbo:MusicalWork) record in?,FALSE,SELECT ?X WHERE { Y dbo:recordedIn ?X.}
locate_in,verb,locate,,,in,InTransitiveFrame,domain,range,2,dbo:location,dbo:City,dbo:Country ,What dbo:City(X)  in Y(dbo:Country )?,FALSE,SELECT ?X WHERE { ?X dbo:location Y.},Which dbo:Country (X) does Y(dbo:City) locate in?,FALSE,SELECT ?X WHERE { Y dbo:location ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,4,dbo:location,dbo:Airport,dbo:Place,What dbo:Airport(X)  in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:location Y.},Which dbo:Place(X) does Y(dbo:Airport) locate in?,FALSE,SELECT ?X WHERE { Y dbo:location ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,9,dbo:location,dbo:BodyOfWater,dbo:Place,What dbo:BodyOfWater(X)  in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:location Y.},Which dbo:Place(X) does Y(dbo:BodyOfWater) locate in?,FALSE,SELECT ?X WHERE { Y dbo:location ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,5,dbo:country,dbo:Mountain,dbo:Country,What dbo:Mountain(X)  in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:Mountain) locate in?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,6,dbo:locatedInArea,dbo:Place,dbo:Place,What dbo:Place(X)  in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:locatedInArea Y.},Which dbo:Place(X) does Y(dbo:Place) locate in?,FALSE,SELECT ?X WHERE { Y dbo:locatedInArea ?X.}
-,verb,locate,,,in,InTransitiveFrame,domain,range,7,dbo:country,dbo:Settlement,dbo:Country,What dbo:Settlement(X)  in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:Settlement) locate in?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
