LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm, domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
bside-of,noun,B-side,-,of,NounPPFrame,range,domain,1,dbo:bsSde,dbo:Song,xsd:string,Song,Songs,-,-
releaseType-of,noun,realease type,-,of,NounPPFrame,range,domain,1,dbo:type,dbo:Song,xsd:string,Song,Songs,-,-
aside-of,noun,A-side,-,of,NounPPFrame,range,domain,1,dbo:aSide,dbo:Song,xsd:string,Song,Songs,-,-
literaryGenre-of,noun,literary genre,-,of,NounPPFrame,range,domain,2,dbo:literaryGenre,dbo:WrittenWork,dbo:literaryGenre,written work,written works,literary Genre,literary Genres
language-of,noun,language,-,of,NounPPFrame,range,domain,1,dbo:language,dbo:WrittenWork,dbo:Language,written work,written works,Language,Languages
language-of,noun,language,-,of,NounPPFrame,range,domain,2,dbo:language,dbo:Organisation,dbo:Language,Organisation,Organisations,Language,Languages
publisher-of,noun,publisher,-,of,NounPPFrame,range,domain,2,dbo:publisher,dbo:WrittenWork,dbo:Agent,written work,written works,Agent,Agents
mediaType-of,noun,media type,-,of,NounPPFrame,range,domain,1,dbo:mediaType,dbo:WrittenWork,xsd:string,written work,written works,-,-
colour-of,noun,colour,-,of,NounPPFrame,range,domain,1,dbo:colour,dbo:PoliticalParty,dbo:Colour,political Party,political Parties,Colour,Colours
movie_of,noun,movie ,movies,of,NounPPFrame,range,domain,1,dbo:starring,dbo:Actor,dbo:Work,Actor,Actors,work,works
show-of,noun,show,shows,of,NounPPFrame,range,domain,1,dbo:starring,dbo:Actor,dbo:Work,Actor,Actors,work,works
membership-of,noun,membership,-,of,NounPPFrame,range,domain,1,dbo:membership,dbo:Organisation,rdf:langString,Organisation,Organisations,-,-
purpose-of,noun,purpose,-,of,NounPPFrame,range,domain,1,dbo:purpose,dbo:Organisation,xsd:string,Organisation,Organisations,-,-
revenueYear-of,noun,year of reported revenue,-,of,NounPPFrame,range,domain,1,dbo:revenueYear,dbo:Organisation,xsd:gYear,Organisation,Organisations,year,years
anthem-of,noun,anthem,anthems,of,NounPPFrame,range,domain,1,dbo:anthem,dbo:Country,xsd:string,Country,Countries,-,-
currencyCode-of,noun,currency code,-,of,NounPPFrame,range,domain,1,dbo:currencyCode,dbo:Currency,xsd:string,Currency,Currencies,-,-
demonym-of,noun,demonym ,-,of,NounPPFrame,range,domain,1,dbo:demonym,dbo:Country,xsd:string,Country,Countries,-,-
event-in,noun,event,events,in,NounPPFrame,range,domain,1,dbo:event,dbo:Country,xsd:string,Country,Countries,-,-
giniCoefficient-of,noun,gini coefficient,-,of,NounPPFrame,range,domain,1,dbo:giniCoefficient,dbo:Country,xsd:double,Country,Countries,-,-
house-of,noun,house,-,of,NounPPFrame,range,domain,1,dbo:house,dbo:Country,xsd:double,Country,Countries,-,-
country-of,noun,country,-,of,NounPPFrame,range,domain,1,dbo:Country,dbo:City,xsd:string,City,Cities,-,-
leaderName-of,noun,leader name,-,of,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,xsd:string,City,Cities,-,-
leaderTitle-of,noun,leader title ,-,of,NounPPFrame,range,domain,1,dbo:leaderTitle,dbo:City,xsd:string,City,Cities,-,-
licenseNumber-of,noun,license number,-,of,NounPPFrame,range,domain,1,dbo:licenseNumber,dbo:City,xsd:string,City,Cities,-,-
motto-of,noun,motto,-,of,NounPPFrame,range,domain,1,dbo:motto,dbo:City,xsd:string,City,Cities,-,-
percentageOfAreaWater-of,noun,percentage of area water,-,of,NounPPFrame,range,domain,1,dbo:percentageOfAreaWater,dbo:City,xsd:double,City,Cities,-,-
subdivision-of,noun,subdivision,subdivisions,of,NounPPFrame,range,domain,1,dbo:subdivision,dbo:City,xsd:string,City,Cities,-,-
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timezone,dbo:City,xsd:string,City,Cities,-,-
child-of,noun,child,children,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Person,Persons,Person,Persons
deathPlace-of,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,xsd:string,Person,Persons,-,-
relative-of,noun,relative,relatives,of,NounPPFrame,range,domain,1,dbo:relative,dbo:Person,xsd:string,Person,Persons,-,-
numberOfStudents-of,noun,number of students,-,of,NounPPFrame,range,domain,1,dbo:numberOfStudents,dbo:EducationalInstitution,xsd:nonNegativeInteger,educational Institution,educational Institutions,-,-
numberOfPostgraduateStudents,noun,number of postgraduate students,-,of,NounPPFrame,range,domain,1,dbo:numberOfPostgraduateStudents,dbo:University,xsd:nonNegativeInteger,University,Universities,-,-
numberOfUndergraduateStudents,noun,number of undergraduate students,-,of,NounPPFrame,range,domain,1,dbo:numberOfUndergraduateStudents,dbo:EducationalInstitution,xsd:nonNegativeInteger,educational Institution,educational Institutions,-,-
numberOfStaff,noun,number of staff,-,of,NounPPFrame,range,domain,1,dbo:staff,dbo:Organisation,xsd:nonNegativeInteger,Organisation,Organisations,-,-
officialSchoolColour-of,noun,official school colour,-,of,NounPPFrame,range,domain,1,dbo:officialSchoolColour,dbo:EducationalInstitution,xsd:string,educational Institution,educational Institutions,-,-
deputy-of,noun,deputy,-,of,NounPPFrame,range,domain,1,dbo:deputy,dbo:Person,xsd:string,Person,Persons,-,-
office-of,noun ,office,-,of,NounPPFrame,range,domain,1,dbo:office,dbo:Politician,xsd:string,Politician,Politicians,-,-
otherParty-of,noun,other party,other parties,of,NounPPFrame,range,domain,1,dbo:otherParty,dbo:Politician,xsd:string,Politician,Politicians,-,-
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,Politician,Politicians,-,-
notableWork-of,noun,notable work,notable works,of,NounPPFrame,range,domain,1,dbo:notableWork,dbo:Writer,xsd:string,Writer,Writers,-,-
pseudonym-of,noun,pseudonym,pseudonyms,of,NounPPFrame,range,domain,1,dbo:pseudonym,dbo:Writer,xsd:string,Writer,Writers,-,-
restingPlace-of,noun,resting place,-,of,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string,Person,Persons,-,-
company-of,noun,company ,companies,of,NounPPFrame,range,domain,1,dbo:company,dbo:TelevisionShow,xsd:string,Television show,Television shows,-,-
creator-of,noun,creator,-,of,NounPPFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Person,Television show,Television shows,Person,Persons
distributor-of,noun,distributor,distributors,of,NounPPFrame,range,domain,2,dbo:distributor,dbo:TelevisionShow,xsd:string,Television show,Television shows,-,-
imdbld-of,noun,imdbld,-,of,NounPPFrame,range,domain,1,dbo:imdbld,dbo:TelevisionShow,xsd:Integer,Television show,Television shows,-,-
network-of,noun,network,networks,of,NounPPFrame,range,domain,1,dbo:network,dbo:TelevisionShow,xsd:string,Television show,Television shows,-,-
numberOfEpisodes-of,noun,number of episodes,-,of,NounPPFrame,range,domain,1,dbo:numberOfEpisodes,dbo:TelevisionShow,xsd:integer,Television show,Television shows,-,-
numberOfSeasons-of,noun,number of seasons,-,of,NounPPFrame,range,domain,1,dbo:numberOfSeasons,dbo:TelevisionShow,xsd:integer,Television show,Television shows,-,-
presenter-of,noun,presenter,presenters,of,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,Television show,Television shows,Person,Persons
riverMouth-of,noun,river mouth,-,of,NounPPFrame,range,domain,1,dbo:riverMouth,dbo:River,dbo:Sea,River,Rivers,Sea,Seas
mouthLevel-of,noun,mouth level,-,of,NounPPFrame,range,domain,1,dbp:mouthLevel,dbo:River,xsd:string,River,Rivers,-,-
humanDevelopementIndex-of,noun,human developement index,-,of,NounPPFrame,range,domain,1,dbo:humanDevelopementIndex,dbo:Country,xsd:float,Country,Countries,-,-
religion-of,noun,religion ,religions,of,NounPPFrame,range,domain,1,dbo:religion,dbo:Country,xsd:string,Country,Countries,-,-
cinematography-of,noun,cinematography,-,of,NounPPFrame,range,domain,1,dbo:cinematography,dbo:Film,dbo:Person,Film,Films,Person,Persons
designer-of,noun,designer,-,of,NounPPFrame,range,domain,1,dbo:designer,dbo:Work,dbo:Person,work,works,Person,Persons
gameArtist-of,noun,game artist,-,of,NounPPFrame,range,domain,1,dbo:gameArtist,dbo:VideoGame,dbo:Person,video Game,video Games,Person,Persons
field-of,noun,field,fields,of,NounPPFrame,range,domain,1,dbo:field,dbo:Artist,dbo:PersonFunction,Artist,Artists,function of Person,function of Persons
birthName-of,noun,birth name ,birth names,of,NounPPFrame,range,domain,1,dbo:birthName,dbo:Person,rdf:langString,Person,Persons,-,-
location-of,noun,location,locations,of,NounPPFrame,range,domain,1,dbo:location,dbo:BodyOfWater,dbo:Place,body of water,body of water,Place,Places
island-of,noun,island,islands,of,NounPPFrame,range,domain,1,dbo:island,dbo:BodyOfWater,dbo:Island,body of water,body of water,Island,Islands
originalName-of,noun,original name,-,of,NounPPFrame,range,domain,1,dbo:originalName,dbo:Company,rdf:langString,Company,Companies,-,-
founder-of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:Company,dbo:Agent,Company,Companies,Agent,Agents
discharge_of,noun,discharge,discharges,of,NounPPFrame,range,domain,1,dbo:discharge,dbo:Stream,xsd:double,Stream,Streams,-,-
hometown-of,noun,hometown,-,of,NounPPFrame,range,domain,1,dbo:hometown,dbo:Person,dbo:Settlement,Person,Persons,Settlement,Settlements
rightTributary_of,noun,right tributary,right tributaries,of,NounPPFrame,range,domain,1,dbo:rightTributary,dbo:River,dbo:River,River,Rivers,River,Rivers
sourceCountry_of,noun,source country,source countries,of,NounPPFrame,range,domain,1,dbo:sourceCountry,dbo:Stream,dbo:Country,Stream,Streams,Country,Countries
mouthCountry_of,noun,mouth country,mouth countries,of,NounPPFrame,range,domain,1,dbo:mouthCountry,dbo:River,dbo:Country,River,Rivers,Country,Countries
sourceElevation_of,noun,source elevation,source elevations,of,NounPPFrame,range,domain,1,dbo:sourceElevation,dbo:River,xsd:double,River,Rivers,-,-
mouthElevation_of,noun,mouth elevation,mouth elevations,of,NounPPFrame,range,domain,1,dbo:mouthElevation,dbo:River,xsd:double,River,Rivers,-,-
isoCodeRegion-of,noun,ISO code region,-,of,NounPPFrame,range,domain,1,dbo:isoCodeRegion,dbo:Settlement,xsd:string,Settlement,Settlements,-,-
bridgeCarries-of,noun,bridge carrier,bridge carries,of,NounPPFrame,range,domain,1,dbo:bridgeCarries,dbo:Bridge,xsd:string,Bridge,Bridges,-,-
alias-of,noun,alias,aliases,of,NounPPFrame,range,domain,1,dbo:alias,dbo:Person,rdf:langString,Person,Persons,-,-
runwayLength-of,noun,runway length,-,of,NounPPFrame,range,domain,1,dbo:runwayLength,dbo:Airport,xsd:double,Airport,Airports,-,-
runwayDesignation-of,noun,designation runway,designation runways,of ,NounPPFrame,range,domain,1,dbo:runwayDesignation,dbo:Airport,xsd:string,Airport,Airports,-,-
runwaySurface-of,noun,surface runway,surface runways,of,NounPPFrame,range,domain,1,dbo:runwaySurface,dbo:Airport,xsd:string,Airport,Airports,-,-
iataLocationIdentifer-of,noun,IATA Location Identifier,-,of,NounPPFrame,range,domain,1,dbo:iataLocationIdentifier,dbo:Infrastructure,xsd:string,Infrastructure,Infrastructures,-,-
icaoLocationIdentifier-of,noun,ICAO Location Identifier,-,of,NounPPFrame,range,domain,1,dbo:icaoLocationIdentifier,dbo:Airport,xsd:string,Airport,Airports,-,-
album-of,noun,album,albums,of,NounPPFrame,range,domain,1,dbo:Album,dbo:Work,dbo:Album,work,works,Album,Albums
publisher-of,noun,publisher,publishers,of,NounPPFrame,range,domain,1,dbo:Publisher,dbo:Work,dbo:Agent,work,works,Agent,Agents
deweyDecimalClassification,noun,Dewey Decimal Classification,Dewey Decimal Classifications,of,NounPPFrame,range,domain,1,dbo:Dcc,dbo:Work,xsd:string,work,works,-,-
lcc-of,noun,LCC,-,of,NounPPFrame,range,domain,1,dbo:Lcc,dbo:WrittenWork,xsd:string,written work,written works,-,-
oclc-of,noun,OCLC,-,of,NounPPFrame,range,domain,1,dbo:Oclc,dbo:WrittenWork,xsd:string,written work,written works,-,-
headquarter-of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:Headquarter,dbo:Organisation,dbo:PopulatedPlace,Organisation,Organisations,populated Place,populated Places
ideology-of,noun,ideology,ideologies,of,NounPPFrame,range,domain,1,dbo:Ideology,dbo:Agent,dbo:Ideology,Agent,Agents,Ideology,Ideologies
recordLocation-of,noun,record location,record locations,of,NounPPFrame,range,domain,1,dbo:RecordedIn,dbo:MusicalWork,dbo:PopulatedPlace,musical work,musical works,populated Place,populated Places
relation-of,noun,relation,relations,of,NounPPFrame,range,domain,1,dbo:relation,dbo:Person,dbo:Person,Person,Persons,Person,Persons
governmentType-of,noun,government type,government types,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:City,dbo:GovernmentType,City,Cities,GovernmentType,government Types
illustrator-of,noun,illustrator,illustrators,of,NounPPFrame,range,domain,1,dbo:Illustrator,dbo:WrittenWork,dbo:Person,written work,written works,Person,Persons
isbn-of,noun,ISBN,-,of,NounPPFrame,range,domain,1,dbo:Isbn,dbo:WrittenWork,xsd:string,written work,written works,-,-
formationYear-of,noun,formation year,-,of,NounPPFrame,range,domain,1,dbo:FormationYear,dbo:Organisation,xsd:gYear,Organisation,Organisations,year,years
dissolutionYear-of,noun,dissolution year,-,of,NounPPFrame,range,domain,1,dbo:DissolutionYear,"dbo:Organisation,_PopulatedPlace",xsd:year,Organisation,Organisations,year,years
actor-of,noun,actor,actors,of,NounPPFrame,range,domain,1,dbo:Actor,dbo:Film,dbo:Person,Film,Films,Person,Persons
relation-of,noun,relation,relations,of,NounPPFrame,range,domain,1,dbo:relation,dbo:Person,dbo:Person,Person,Persons,Person,Persons
owner-of,noun,owner,owners,of,NounPPFrame,range,domain,1,dbo:owner,dbo:Location,dbo:Agent,Location,Locations,Agent,Agents
politicalLeader-of,noun,political leader,political leaders,of,NounPPFrame,range,domain,1,dbo:politicalLeader,dbo:Place,dbo:PersonFunction,Place,Places,function of Person,function of Person
picture-of,noun,picture,pictures,of,NounPPFrame,range,domain,1,dbo:picture,dbo:Thing,dbo:Thing,Thing,Things,Thing,Things
movie-of,noun,movie,movies,of,NounPPFrame,range,domain,1,dbo:Person,dbo:Person,dbo:Work,Person,Persons,work,works
termStart-of,noun,starting term,-,of,NounPPFrame,range,domain,1,dbo:termStart,dbo:Person,xsd:integer,Person,Persons,-,-
termEnd-of,noun,ending term,-,of,NounPPFrame,range,domain,1,dbo:termEnd,dbo:Person,xsd:integer,Person,Persons,-,-
activeYearsStartYear-of,noun,active years start year,-,of,NounPPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Person,xsd:gYear,Person,Persons,year,years
activeYearsEndYear-of,noun,active years end year,-,of,NounPPFrame,range,domain,1,dbo:activeYearsEndYear,dbo:Person,xsd:gYear,Person,Persons,year,years
activeYearsEndDate-of,noun,active years end date,-,of,NounPPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Politician,xsd:date,Politician,Politicians,-,-
activeYearsStartDate-of,noun,active years start date,-,of,NounPPFrame,range,domain,1,dbo:activeYearsStartDate,dbo:Politician,xsd:date,Politician,Politicians,-,-
