LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPast,SyntacticFrame,subject,directObject,sense,reference,domain,range,GrammarRule 1:question1,GrammarRule 1:question2,GrammarRule 1:sparql,GrammarRule 2:question1,GrammarRule2: sparql
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,2,dbo:producer,dbo:Work,dbo:Person,"Which dbo:Person (X) produces,produced Y(dbo:Work)?","Who dbo:Person (X) produces,produced Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:producer ?X.},Which dbo:Work(X) was produced by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person,"Which dbo:Person (X) produces,produced Y(dbo:TelevisionShow)?","Who dbo:Person (X) produces,produced Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:executiveProducer ?X.},Which dbo:TelevisionShow(X) was produced by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation,"Which dbo:Organisation (X) produces,produced Y(dbo:Beverage)?","Who dbo:Organisation (X) produces,produced Y(dbo:Beverage)?",SELECT ?X WHERE { Y dbo:manufacturer ?X.},Which dbo:Beverage(X) was produced by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
publish,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:Book)?","Who dbo:Agent (X) publishes,published Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Book(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:VideoGame)?","Who dbo:Agent (X) publishes,published Y(dbo:VideoGame)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:VideoGame(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,publish,pubblicare,publish,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,3,dbo:publisher,dbo:Work,dbo:Person,"Which dbo:Person (X) publish,published Y(dbo:Work)?","Who dbo:Person (X) publish,published Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Work(X) was published by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:Work)?","Who dbo:Agent (X) publishes,published Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:publisher ?X.},Which dbo:Work(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
serve,verb,serve,,serves,,served,,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,"Which dbo:Airport (X) serves,served Y(dbo:Airline)?","Who dbo:Airport (X) serves,served Y(dbo:Airline)?",SELECT ?X WHERE { Y dbo:targetAirport ?X.},Which dbo:Airline(X) was served by Y(dbo:Airport)?,SELECT ?X WHERE { ?X dbo:Airport Y.}
write,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Song)?","Who dbo:Person (X) writes,wrote Y(dbo:Song)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Song(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,2,dbo:writer,dbo:Book,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Book)?","Who dbo:Person (X) writes,wrote Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Book(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,3,dbo:writer,dbo:MusicalWork,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:MusicalWork)?","Who dbo:Person (X) writes,wrote Y(dbo:MusicalWork)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:MusicalWork(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Agent,"Which dbo:Agent (X) writes,wrote Y(dbo:Book)?","Who dbo:Agent (X) writes,wrote Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:author ?X.},Which dbo:Book(X) was wrote by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,5,dbo:writer,dbo:Work,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Work)?","Who dbo:Person (X) writes,wrote Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Work(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,6,dbp:allLyrics,dbo:Album,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Album)?","Who dbo:Person (X) writes,wrote Y(dbo:Album)?",SELECT ?X WHERE { Y dbp:allLyrics ?X.},Which dbo:Album(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,7,dbp:writer,dbo:Work,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Work)?","Who dbo:Person (X) writes,wrote Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:writer ?X.},Which dbo:Work(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
paint,verb,paint,dipingere,paints,dipinge,painted,ha dipinto,TransitiveFrame,range,domain,1,dbo:artist,dbo:Work,dbo:Person,"Which dbo:Person (X) paints,painted Y(dbo:Work)?","Who dbo:Person (X) paints,painted Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:artist ?X.},Which dbo:Work(X) was painted by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
star,verb,star,,stars,,starred,,TransitiveFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Actor,"Which dbo:Actor (X) stars,starred Y(dbo:Work)?","Who dbo:Actor (X) stars,starred Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:starring ?X.},Which dbo:Work(X) was starred by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.}
win,verb,win,vincere,wins,vince,won,ha vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Person,dbo:Award,"Which dbo:Award (X) wins,won Y(dbo:Person)?","Who dbo:Award (X) wins,won Y(dbo:Person)?",SELECT ?X WHERE { Y dbo:award ?X.},Which dbo:Person(X) was won by Y(dbo:Award)?,SELECT ?X WHERE { ?X dbo:Award Y.}
win,verb,win,vincere,wins,vince,won,ha vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Work,dbo:Person,"Which dbo:Person (X) wins,won Y(dbo:Work)?","Who dbo:Person (X) wins,won Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:award ?X.},Which dbo:Work(X) was won by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
found,verb,found,fondare,founds,fonda,founded,ha fondato,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Person,"Which dbo:Person (X) founds,founded Y(dbo:Organisation)?","Who dbo:Person (X) founds,founded Y(dbo:Organisation)?",SELECT ?X WHERE { Y dbo:foundedBy ?X.},Which dbo:Organisation(X) was founded by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,found,fondare,founds,fonda,founded,ha fondato,TransitiveFrame,range,domain,2,dbp:founder,dbo:Organisation,dbo:Person,"Which dbo:Person (X) founds,founded Y(dbo:Organisation)?","Who dbo:Person (X) founds,founded Y(dbo:Organisation)?",SELECT ?X WHERE { Y dbp:founder ?X.},Which dbo:Organisation(X) was founded by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
present,verb,present,presentare,presents,presenta,presented,ha presentato,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,"Which dbo:Person (X) presents,presented Y(dbo:TelevisionShow)?","Who dbo:Person (X) presents,presented Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:presenter ?X.},Which dbo:TelevisionShow(X) was presented by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
perform,verb,perform,suonare,performs,suona,performed,ha suonato,TransitiveFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,"Which dbo:Agent (X) performs,performed Y(dbo:MusicalWork)?","Who dbo:Agent (X) performs,performed Y(dbo:MusicalWork)?",SELECT ?X WHERE { Y dbo:artist ?X.},Which dbo:MusicalWork(X) was performed by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
succeed,verb,succeed,seguire,succeeds,segue,succeeded,ha seguito,TransitiveFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,"Which dbo:Person (X) succeeds,succeeded Y(dbo:Person)?","Who dbo:Person (X) succeeds,succeeded Y(dbo:Person)?",SELECT ?X WHERE { Y dbo:successor ?X.},Which dbo:Person(X) was succeeded by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
distribute,verb,distribute,dsitribuire,distributes,distribuisce,distributed,ha distribuito,TransitiveFrame,range,domain,1,dbo:distributor,dbo:TelevisionShow,dbo:Organisation,"Which dbo:Organisation (X) distributes,distributed Y(dbo:TelevisionShow)?","Who dbo:Organisation (X) distributes,distributed Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:distributor ?X.},Which dbo:TelevisionShow(X) was distributed by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
-,verb,distribute,dsitribuire,distributes,distribuisce,distributed,ha distribuito,TransitiveFrame,range,domain,2,dbo:distributor,dbo:Film,dbo:Organisation,"Which dbo:Organisation (X) distributes,distributed Y(dbo:Film)?","Who dbo:Organisation (X) distributes,distributed Y(dbo:Film)?",SELECT ?X WHERE { Y dbo:distributor ?X.},Which dbo:Film(X) was distributed by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
air,verb,air,trasmettere,airs,trasmette,aired,ha trasmesso,TransitiveFrame,range,domain,1,dbo:network,dbo:Film,dbo:Broadcaster,"Which dbo:Broadcaster (X) airs,aired Y(dbo:Film)?","Who dbo:Broadcaster (X) airs,aired Y(dbo:Film)?",SELECT ?X WHERE { Y dbo:network ?X.},Which dbo:Film(X) was aired by Y(dbo:Broadcaster)?,SELECT ?X WHERE { ?X dbo:Broadcaster Y.}
precede,verb,precede,precedere,precedes,precede,preceded,ha preceduto,TransitiveFrame,range,domain,1,dbp:prevTitle,dbo:Album,dbo:Album,"Which dbo:Album (X) precedes,preceded Y(dbo:Album)?","Who dbo:Album (X) precedes,preceded Y(dbo:Album)?",SELECT ?X WHERE { Y dbp:prevTitle ?X.},Which dbo:Album(X) was preceded by Y(dbo:Album)?,SELECT ?X WHERE { ?X dbo:Album Y.}
-,verb,precede,precedere,precedes,precede,preceded,ha preceduto,TransitiveFrame,range,domain,2,dbo:previousWork,dbo:Work,dbo:Work,"Which dbo:Work (X) precedes,preceded Y(dbo:Work)?","Who dbo:Work (X) precedes,preceded Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:previousWork ?X.},Which dbo:Work(X) was preceded by Y(dbo:Work)?,SELECT ?X WHERE { ?X dbo:Work Y.}
-,verb,precede,precedere,precedes,precede,preceded,ha preceduto,TransitiveFrame,range,domain,3,dbp:after,dbo:Politician,dbo:Politician,"Which dbo:Politician (X) precedes,preceded Y(dbo:Politician)?","Who dbo:Politician (X) precedes,preceded Y(dbo:Politician)?",SELECT ?X WHERE { Y dbp:after ?X.},Which dbo:Politician(X) was preceded by Y(dbo:Politician)?,SELECT ?X WHERE { ?X dbo:Politician Y.}
-,verb,precede,precedere,precedes,precede,preceded,ha preceduto,TransitiveFrame,range,domain,4,dbp:predecessor,dbo:Politician,dbo:Politician,"Which dbo:Politician (X) precedes,preceded Y(dbo:Politician)?","Who dbo:Politician (X) precedes,preceded Y(dbo:Politician)?",SELECT ?X WHERE { Y dbp:predecessor ?X.},Which dbo:Politician(X) was preceded by Y(dbo:Politician)?,SELECT ?X WHERE { ?X dbo:Politician Y.}
marry,verb,marry,sposare,marries,sposa,married,ha sposato,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,"Which dbo:Person (X) marries,married Y(dbo:Person)?","Who dbo:Person (X) marries,married Y(dbo:Person)?",SELECT ?X WHERE { Y dbo:spouse ?X.},Which dbo:Person(X) was married by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
own,verb,own,possedere,owns,possiede,owned,ha posseduto,TransitiveFrame,range,domain,1,dbo:owner,dbo:Airport,dbo:Agent,"Which dbo:Agent (X) owns,owned Y(dbo:Airport)?","Who dbo:Agent (X) owns,owned Y(dbo:Airport)?",SELECT ?X WHERE { Y dbo:owner ?X.},Which dbo:Airport(X) was owned by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,own,possedere,owns,possiede,owned,ha posseduto,TransitiveFrame,range,domain,2,dbo:owner,dbo:Animal,dbo:Agent,"Which dbo:Agent (X) owns,owned Y(dbo:Animal)?","Who dbo:Agent (X) owns,owned Y(dbo:Animal)?",SELECT ?X WHERE { Y dbo:owner ?X.},Which dbo:Animal(X) was owned by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
operate,verb,operate,operare,operates,opera,operated,ha operato,TransitiveFrame,range,domain,1,dbp:operator,dbo:Airport,dbo:Organisation,"Which dbo:Organisation (X) operates,operated Y(dbo:Airport)?","Who dbo:Organisation (X) operates,operated Y(dbo:Airport)?",SELECT ?X WHERE { Y dbp:operator ?X.},Which dbo:Airport(X) was operated by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
control,verb,control,controllare,controls,controlla,controlled,ha controllato,TransitiveFrame,range,domain,1,dbp:controlledby,dbo:Airport,dbo:Organisation,"Which dbo:Organisation (X) controls,controlled Y(dbo:Airport)?","Who dbo:Organisation (X) controls,controlled Y(dbo:Airport)?",SELECT ?X WHERE { Y dbp:controlledby ?X.},Which dbo:Airport(X) was controlled by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
illustrate,verb,illustrate,illustrare,illustrates,illustra,illustrated,ha illustrato,TransitiveFrame,range,domain,1,dbo:illustrator,dbo:WrittenWork,dbo:Person,"Which dbo:Person (X) illustrates,illustrated Y(dbo:WrittenWork)?","Who dbo:Person (X) illustrates,illustrated Y(dbo:WrittenWork)?",SELECT ?X WHERE { Y dbo:illustrator ?X.},Which dbo:WrittenWork(X) was illustrated by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
support,verb,support,supportare,supports,supporta,supported,ha supportato,TransitiveFrame,range,domain,1,dbo:ideology,dbo:Ideology,dbo:Agent,"Which dbo:Agent (X) supports,supported Y(dbo:Ideology)?","Who dbo:Agent (X) supports,supported Y(dbo:Ideology)?",SELECT ?X WHERE { Y dbo:ideology ?X.},Which dbo:Ideology(X) was supported by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
speak,verb,speak,parlare,speaks,parla,spoke,parlava,TransitiveFrame,range,domain,1,dbo:officialLanguage,dbo:Language,dbo:PopulatedPlace,"Which dbo:PopulatedPlace (X) speaks,spoke Y(dbo:Language)?","Who dbo:PopulatedPlace (X) speaks,spoke Y(dbo:Language)?",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},Which dbo:Language(X) was spoke by Y(dbo:PopulatedPlace)?,SELECT ?X WHERE { ?X dbo:PopulatedPlace Y.}
join,verb,join,unirsi,joins,si unisce,joined,si è unito,TransitiveFrame,range,domain,1,dbo:riverMouth,dbo:BodyOfWater,dbo:River,"Which dbo:River (X) joins,joined Y(dbo:BodyOfWater)?","Who dbo:River (X) joins,joined Y(dbo:BodyOfWater)?",SELECT ?X WHERE { Y dbo:riverMouth ?X.},Which dbo:BodyOfWater(X) was joined by Y(dbo:River)?,SELECT ?X WHERE { ?X dbo:River Y.}
create,verb,create,creare,creates,crea,created,ha creato,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,"Which dbo:Agent (X) creates,created Y(dbo:TelevisionShow)?","Who dbo:Agent (X) creates,created Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:creator ?X.},Which dbo:TelevisionShow(X) was created by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
create,verb,create,creare,creates,crea,created,ha creato,TransitiveFrame,range,domain,1,dbo:notableWork,dbo:Work,dbo:Person,"Which dbo:Person (X) creates,created Y(dbo:Work)?","Who dbo:Person (X) creates,created Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:notableWork ?X.},Which dbo:Work(X) was created by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
leave,verb,leave,lasciare,leaves,lascia,left,ha lasciato,TransitiveFrame,range,domain,1,dbo:formerBandMember,dbo:Band,dbo:Person,"Which dbo:Person (X) leaves,left Y(dbo:Band)?","Who dbo:Person (X) leaves,left Y(dbo:Band)?",SELECT ?X WHERE { Y dbo:formerBandMember ?X.},Which dbo:Band(X) was left by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
program,verb,program,programmare,programs,programma,programmed,ha programmato,TransitiveFrame,range,domain,1,dbp:programmer,dbo:Software,dbo:Person,"Which dbo:Person (X) programs,programmed Y(dbo:Software)?","Who dbo:Person (X) programs,programmed Y(dbo:Software)?",SELECT ?X WHERE { Y dbp:programmer ?X.},Which dbo:Software(X) was programmed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
cover,verb,cover,occuparsi,covers,si occupa,covered,si occupava,TransitiveFrame,range,domain,1,dbo:academicDiscipline,owl:Thing,dbo:AcademicJournal,"Which dbo:AcademicJournal (X) covers,covered Y(owl:Thing)?","Who dbo:AcademicJournal (X) covers,covered Y(owl:Thing)?",SELECT ?X WHERE { Y dbo:academicDiscipline ?X.},Which owl:Thing(X) was covered by Y(dbo:AcademicJournal)?,SELECT ?X WHERE { ?X dbo:AcademicJournal Y.}
edit,verb,edit,curare,edits,cura,edited,curava,TransitiveFrame,range,domain,1,dbo:editor,dbo:AcademicJournal,dbo:Agent,"Which dbo:Agent (X) edits,edited Y(dbo:AcademicJournal)?","Who dbo:Agent (X) edits,edited Y(dbo:AcademicJournal)?",SELECT ?X WHERE { Y dbo:editor ?X.},Which dbo:AcademicJournal(X) was edited by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
manage,verb,manage,occuparsi,manages,si occupa,managed,si occupava,TransitiveFrame,range,domain,1,dbo:managerClub,dbo:SportsTeam,dbo:Athlete,"Which dbo:Athlete (X) manages,managed Y(dbo:SportsTeam)?","Who dbo:Athlete (X) manages,managed Y(dbo:SportsTeam)?",SELECT ?X WHERE { Y dbo:managerClub ?X.},Which dbo:SportsTeam(X) was managed by Y(dbo:Athlete)?,SELECT ?X WHERE { ?X dbo:Athlete Y.}
lead,verb,lead,guidare,leads,guida,led,guiidava,TransitiveFrame,range,domain,1,dbp:leaderName,dbo:Place,dbo:Person,"Which dbo:Person (X) leads,led Y(dbo:Place)?","Who dbo:Person (X) leads,led Y(dbo:Place)?",SELECT ?X WHERE { Y dbp:leaderName ?X.},Which dbo:Place(X) was led by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
drain,verb,drain,drenare,drains,drena,drained,ha drenato,TransitiveFrame,range,domain,1,dbo:outflow,dbo:BodyOfWater,dbo:River,"Which dbo:River (X) drains,drained Y(dbo:BodyOfWater)?","Who dbo:River (X) drains,drained Y(dbo:BodyOfWater)?",SELECT ?X WHERE { Y dbo:outflow ?X.},Which dbo:BodyOfWater(X) was drained by Y(dbo:River)?,SELECT ?X WHERE { ?X dbo:River Y.}
