LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,,writtenForm3rdPerson,,writtenFormPast,,preposition,,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
-,verb,build,costruire,builds,costruisce,built,costruito,in,nel,InTransitiveFrame,domain,range,2,dbo:buildingStartDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
-,verb,build,costruire,builds,costruisce,built,costruito,in,nel,InTransitiveFrame,domain,range,3,dbo:buildingStartDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
inaugurate_in,verb,inaugurate,inaugurare,inaugurates,inaugura,inaugurated,inaugurata,in,nel,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
,verb,inaugurate,inaugurare,inaugurates,inaugura,inaugurated,inaugurata,in,nel,InTransitiveFrame,domain,range,2,dbo:openingDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
,verb,inaugurate,inaugurare,inaugurates,inaugura,inaugurated,inaugurata,in,nel,InTransitiveFrame,domain,range,3,dbo:openingDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
founded_on,verb,found,fondare,finds,fonda,founded,fondato,on,nel,InTransitiveFrame,domain,range,1,dbo:foundingDate,dbo:Organisation,xsd:date,-,Which dbo:Organisation(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Organisation) founded ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,fondare,founds,fonda,founded,fondato,on,nel,InTransitiveFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:date,-,Which dbo:Settlement(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Settlement) founded ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,fondare,founds,fonda,founded,fondato,on,nel,InTransitiveFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:date,-,Which dbo:PoliticalParty(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,When xsd:date(X) was Y(dbo:PoliticalParty) founded ?,SELECT ?X WHERE { Y dbo:formationDate ?X.}
founded_in,verb,found,fondare,finds,fonda,founded,fondato,in,nel,InTransitiveFrame,domain,range,2,dbo:foundingYear,dbo:Organisation,xsd:gYear,,FALSE,SELECT ?X WHERE { ?X dbo:foundingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingYear ?X.}
-,verb,found,fondare,founds,fonda,founded,fondato,in,nel,InTransitiveFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,fondare,founds,fonda,founded,fondato,in,nel,InTransitiveFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:formationDate ?X.}
released_on,verb,release,uscire,releases,esce,released,uscito,at,il,InTransitiveFrame,domain,range,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date,-,Which dbo:TelevisionShow(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:TelevisionShow) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
-,verb,release,uscire,releases,esce,released,uscito,at,il,InTransitiveFrame,domain,range,2,dbo:releaseDate,dbo:Song,xsd:date,-,Which dbo:Song(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Song) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
-,verb,release,uscire,releases,esce,released,uscito,at,il,InTransitiveFrame,domain,range,3,dbo:releaseDate,dbo:Software,xsd:date,-,Which dbo:Software(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Software) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
,verb,release,uscire,releases,esce,released,uscito,on,il,InTransitiveFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing,What dbo:Software(X) releases on Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:computingPlatform Y.},Which owl:Thing(X) does Y(dbo:Software) release on?,FALSE,SELECT ?X WHERE { Y dbo:computingPlatform ?X.}
published_on,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,on,il,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:date,-,Which dbo:Song(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Song) published ?,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,on,il,InTransitiveFrame,domain,range,1,dbp:published,dbo:Article,xsd:date,-,Which dbo:Article(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Article) published ?,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,on,il,InTransitiveFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:date,-,Which dbo:Book(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,When xsd:date(X) was Y(dbo:Book) published ?,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
published_in,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,in,il,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,in,il,InTransitiveFrame,domain,range,1,dbp:published,dbo:Article,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,pubblicare,publishes,pubblica,published,pubblicato,in,il,InTransitiveFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
dissolve_on,verb,dissolve,sciogliere,dissolves,scioglie,dissolved,sciolta,on,il,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,-,Which dbo:PopulatedPlace(X) was dissolved on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,When xsd:date(X) was Y(dbo:PopulatedPlace) dissolved ?,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
dissolve_in,verb,dissolve,sciogliere,dissolves,scioglie,dissolved,sciolta,in,il,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
destroy_on,verb,destroy,dsitruggere,destroys,distrugge,destroys,distrutto,on,nel,InTransitiveFrame,domain,range,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was destroys on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) destroys ?,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
destroy_in,verb,destroy,dsitruggere,destroys,distrugge,destroys,distrutto,in,nel,InTransitiveFrame,domain,range,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
rebuild_on,verb,rebuild,ricostruire,rebuilds,riscostruisce,rebuilt,ricostruito,on,nel,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was rebuilt on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) rebuilt ?,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
rebuild_in,verb,rebuild,ricostruire,rebuilds,riscostruisce,rebuilt,ricostruito,in,nel,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
reopen_on,verb,reopen,riaprire,reopens,riapre,reopened,riaperto,on,nel,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was reopened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) reopened ?,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
reopen_in,verb,reopen,riaprire,reopens,riapre,reopened,riaperto,in,nel,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
discontinue_on,verb,discontinue,interrompere,discontinues,interrompe,discontinued,interrotto,on,nel,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was discontinued on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,When xsd:date(X) was Y(dbo:Beverage) discontinued ?,SELECT ?X WHERE { Y dbo:discontinued ?X.}
discontinue_in,verb,discontinue,interrompere,discontinues,interrompe,discontinued,interrotto,in,nel,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,FALSE,SELECT ?X WHERE { Y dbo:discontinued ?X.}
introduced_on,verb,introduce,introdurre,introduces,introduce,introduced,introdotto,on,nel,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was introduced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:introduced Y.},-,When xsd:date(X) was Y(dbo:Beverage) introduced ?,SELECT ?X WHERE { Y dbo:introduced ?X.}
introduced_in,verb,introduce,introdurre,introduces,introduce,introduced,introdotto,in,nel,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:introduced Y.},-,FALSE,SELECT ?X WHERE { Y dbo:introduced ?X.}
open_on,verb,open,aprire,opens,apre,opened,aperto,on,nel,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:Bridge,xsd:date,-,Which dbo:Bridge(X) was opened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,When xsd:date(X) was Y(dbo:Bridge) opened ?,SELECT ?X WHERE { Y dbo:openingDate ?X.}
open_in,verb,open,aprire,opens,apre,opened,aperto,in,nel,InTransitiveFrame,domain,range,1,dbo:openingYear,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingYear ?X.}
produced_on,verb,produce,produrre,produced,produce,produced,prodotto,on,nel,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:date,-,Which dbo:Film(X) was produced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Film) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,produrre,produced,produce,produced,prodotto,on,nel,InTransitiveFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:date,-,Which dbo:Album(X) was produced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Album) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,produrre,produced,produce,produced,prodotto,in,nel,InTransitiveFrame,domain,range,3,dbo:productionDate,dbo:Song,xsd:date,-,Which dbo:Song(X) was produced in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Song) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in,verb,produce,produrre,produced,produce,produced,prodotto,in,nel,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,produrre,produced,produce,produced,prodotto,in,nel,InTransitiveFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
-,verb,produce,produrre,produced,produce,produced,prodotto,in,nel,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Song,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
establish_in,verb,establish,,establishes,,established,,in,,InTransitiveFrame,domain,range,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:firstPublicationYear Y.},Which xsd:gYear(X) does Y(dbo:PeriodicalLiterature) establish in?,FALSE,SELECT ?X WHERE { Y dbo:firstPublicationYear ?X.}
form_in,verb,form,formarsi,forms,si forma,formed,formata,in,nel,InTransitiveFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Band,xsd:date,-,Which dbo:Band(X) was formed in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},Which xsd:date(X) does Y(dbo:Band) form in?,When xsd:date(X) was Y(dbo:Band) formed ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
born _on,verb,born,nascere,-,nasce,born,nato,on,nel,InTransitiveFrame,domain,range,1,dbo:birthDate,dbo:Person,xsd:date,-,Which dbo:Person(X) was born on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:birthDate Y.},-,When xsd:date(X) was Y(dbo:Person) born ?,SELECT ?X WHERE { Y dbo:birthDate ?X.}
live_in,verb,live,vivere,lives,vive,lived,vissuto,in,nel,InTransitiveFrame,domain,range,1,dbo:residence,dbo:Person,dbo:Place,What dbo:Person(X) lives in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:residence Y.},Which dbo:Place(X) does Y(dbo:Person) live in?,FALSE,SELECT ?X WHERE { Y dbo:residence ?X.}
die_on,verb,die,morire,dies,muore,died,morto,on,nel,InTransitiveFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,-,Which dbo:Person(X) was died on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:deathDate Y.},-,When xsd:date(X) was Y(dbo:Person) died ?,SELECT ?X WHERE { Y dbo:deathDate ?X.}
die_from,verb,die,morire,dies,muore,died,morto,from,nel,InTransitiveFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,-,FALSE,SELECT ?X WHERE { ?X dbo:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbo:deathCause ?X.}
-,verb,die,morire,dies,muore,died,morto,from,nel,InTransitiveFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease,What dbo:Person(X) dies from Y(dbo:Disease)?,FALSE,SELECT ?X WHERE { ?X dbp:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbp:deathCause ?X.}
take_place_in,verb,take place,avvenire,takes place,avviene,took place,avvenuto,in,nel,InTransitiveFrame,domain,range,1,dbo:place,dbo:MilitaryConflict,dbo:PopulatedPlace,What dbo:MilitaryConflict(X) takes place in Y(dbo:PopulatedPlace)?,FALSE,SELECT ?X WHERE { ?X dbo:place Y.},-,FALSE,SELECT ?X WHERE { Y dbo:place ?X.}
-,verb,take place,avvenire,takes place,avviene,took place,avvenuto,in,nel,InTransitiveFrame,domain,range,2,dbo:date,dbo:MilitaryConflict,xsd:date,What dbo:MilitaryConflict(X) takes place in Y(xsd:date)?,Which dbo:MilitaryConflict(X) was took place in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:date Y.},Which xsd:date(X) does Y(dbo:MilitaryConflict) take place in?,When xsd:date(X) was Y(dbo:MilitaryConflict) took place ?,SELECT ?X WHERE { Y dbo:date ?X.}
compose_for,verb,compose,comporre,composes,compone,composed,composto,for,per,InTransitiveFrame,domain,range,1,dbo:musicComposer,dbo:Work,dbo:Person,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:musicComposer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:musicComposer ?X.}
-,verb,compose,comporre,composes,compone,composed,composto,for,per,InTransitiveFrame,domain,range,2,dbo:composer,dbo:Work,dbo:Person,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:composer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:composer ?X.}
-,verb,compose,comporre,composes,compone,composed,composto,for,per,InTransitiveFrame,domain,range,3,dbp:music,dbo:Work,dbo:Person,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:music Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbp:music ?X.}
work_for,verb,work,lavorare,works,lavora,worked,lavorato,for,per,InTransitiveFrame,domain,range,1,dbo:keyPerson,dbo:Organisation,dbo:Person,What dbo:Organisation(X) works for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:keyPerson Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbo:keyPerson ?X.}
-,verb,work,lavorare,works,lavora,worked,lavorato,for,per,InTransitiveFrame,domain,range,2,dbp:keyPeople,dbo:Organisation,dbo:Person,What dbo:Organisation(X) works for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:keyPeople Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbp:keyPeople ?X.}
bury_in,verb,bury,seppellire,buries,seppellisce,buried,sepolto,in,nel,InTransitiveFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City,What dbo:Person(X) buries in Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:burialPlace Y.},Which dbo:City(X) does Y(dbo:Person) bury in?,FALSE,SELECT ?X WHERE { Y dbp:burialPlace ?X.}
start_acting_on,verb,start acting,iniziare a recitare,starts acting,inizia a recitare,started acting,iniziato a recitare,on,nel,InTransitiveFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Actor,xsd:date,-,Which dbo:Actor(X) was started acting on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},-,When xsd:date(X) was Y(dbo:Actor) started acting ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
stop_acting_on,verb,stop acting,smettere di recitare,stops acting,smette di recitare,stopped acting,smesso di recitare,on,nel,InTransitiveFrame,domain,range,1,dbo:activeYearsEndYear,dbo:Actor,xsd:date,-,Which dbo:Actor(X) was stopped acting on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsEndYear Y.},-,When xsd:date(X) was Y(dbo:Actor) stopped acting ?,SELECT ?X WHERE { Y dbo:activeYearsEndYear ?X.}
fight_in,verb,fight,,fights,,fought,,in,,InTransitiveFrame,range,domain,1,dbo:combatant,dbo:MilitaryConflict,xsd:string,What xsd:string (Y) fights in X(dbo:MilitaryConflict)? ,FALSE,SELECT ?Y WHERE { X dbo:combatant ?Y.},-,FALSE,SELECT ?X WHERE { ?X dbo:combatant Y.}
play_in,verb,play,recitare,plays,recita,played,recitato,in,in,InTransitiveFrame,domain,range,1,dbo:member,dbo:Person,dbo:Band,What dbo:Person(X) plays in Y(dbo:Band)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Band(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
,verb,play,recitare,plays,recita,played,recitato,in,in,InTransitiveFrame,domain,range,2,dbo:member,dbo:Person,dbo:Play,What dbo:Person(X) plays in Y(dbo:Play)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Play(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
-,verb,play,recitare,plays,recita,played,recitato,in,in,InTransitiveFrame,domain,range,3,dbo:position,dbo:Person,owl:Thing,What dbo:Person(X) plays in Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:position Y.},Which owl:Thing(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:position ?X.}
