"id","question","sparql","answer_uri","answer_label","frame"
"30","Chi era il sindaco di Malines?","select  ?o    {    <http://dbpedia.org/resource/Mechelen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_Somers","Bart Somers (politico)","NPP"
"31","Chi è il sindaco di Malines?","select  ?o    {    <http://dbpedia.org/resource/Mechelen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_Somers","Bart Somers (politico)","NPP"
"32","Quale persona era il sindaco di Malines?","select  ?o    {    <http://dbpedia.org/resource/Mechelen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_Somers","Bart Somers (politico)","NPP"
"33","Quale persona è il sindaco di Malines?","select  ?o    {    <http://dbpedia.org/resource/Mechelen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_Somers","Bart Somers (politico)","NPP"
"34","il sindaco di Malines","select  ?o    {    <http://dbpedia.org/resource/Mechelen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_Somers","Bart Somers (politico)","NPP"
"35","Chi era il sindaco di Tourcoing?","select  ?o    {    <http://dbpedia.org/resource/Tourcoing> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Miscellaneous_right","Divers droite","NPP"
"36","Chi è il sindaco di Tourcoing?","select  ?o    {    <http://dbpedia.org/resource/Tourcoing> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Miscellaneous_right","Divers droite","NPP"
"37","Quale persona era il sindaco di Tourcoing?","select  ?o    {    <http://dbpedia.org/resource/Tourcoing> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Miscellaneous_right","Divers droite","NPP"
"38","Quale persona è il sindaco di Tourcoing?","select  ?o    {    <http://dbpedia.org/resource/Tourcoing> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Miscellaneous_right","Divers droite","NPP"
"39","il sindaco di Tourcoing","select  ?o    {    <http://dbpedia.org/resource/Tourcoing> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Miscellaneous_right","Divers droite","NPP"
"40","Chi era il sindaco di Tournai?","select  ?o    {    <http://dbpedia.org/resource/Tournai> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Socialist_Party_(Belgium)","Partito Socialista (Belgio)","NPP"
"41","Chi è il sindaco di Tournai?","select  ?o    {    <http://dbpedia.org/resource/Tournai> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Socialist_Party_(Belgium)","Partito Socialista (Belgio)","NPP"
"42","Quale persona era il sindaco di Tournai?","select  ?o    {    <http://dbpedia.org/resource/Tournai> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Socialist_Party_(Belgium)","Partito Socialista (Belgio)","NPP"
"43","Quale persona è il sindaco di Tournai?","select  ?o    {    <http://dbpedia.org/resource/Tournai> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Socialist_Party_(Belgium)","Partito Socialista (Belgio)","NPP"
"44","il sindaco di Tournai","select  ?o    {    <http://dbpedia.org/resource/Tournai> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Socialist_Party_(Belgium)","Partito Socialista (Belgio)","NPP"
"45","Chi era il sindaco di Zurigo?","select  ?o    {    <http://dbpedia.org/resource/Zürich> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Corine_Mauch","Corine Mauch","NPP"
"46","Chi è il sindaco di Zurigo?","select  ?o    {    <http://dbpedia.org/resource/Zürich> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Corine_Mauch","Corine Mauch","NPP"
"47","Quale persona era il sindaco di Zurigo?","select  ?o    {    <http://dbpedia.org/resource/Zürich> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Corine_Mauch","Corine Mauch","NPP"
"48","Quale persona è il sindaco di Zurigo?","select  ?o    {    <http://dbpedia.org/resource/Zürich> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Corine_Mauch","Corine Mauch","NPP"
"49","il sindaco di Zurigo","select  ?o    {    <http://dbpedia.org/resource/Zürich> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Corine_Mauch","Corine Mauch","NPP"
