LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
dissolve_in_2,verb,dissolve,dissolves,dissolved,in,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:gYear,populated place,populated places,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
destroy_on_1,verb,destroy,destroys,destroys,on,IntransitivePPFrame,domain,range,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,architectural structure,architectural structures,-,-,-,Which dbo:ArchitecturalStructure(X) was destroys on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) destroys ?,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
destroy_in_1,verb,destroy,destroys,destroys,in,IntransitivePPFrame,domain,range,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
rebuild_on_1,verb,rebuild,rebuilds,rebuilt,on,IntransitivePPFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,architectural structure,architectural structures,-,-,-,Which dbo:ArchitecturalStructure(X) was rebuilt on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) rebuilt ?,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
rebuild_in_2,verb,rebuild,rebuilds,rebuilt,in,IntransitivePPFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
reopen_on_3,verb,reopen,reopens,reopened,on,IntransitivePPFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,architectural structure,architectural structures,-,-,-,Which dbo:ArchitecturalStructure(X) was reopened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) reopened ?,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
reopen_in_4,verb,reopen,reopens,reopened,in,IntransitivePPFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear,architectural structure,architectural structures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
discontinue_on_1,verb,discontinue,discontinues,discontinued,on,IntransitivePPFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date,beverage,beverages,-,-,-,Which dbo:Beverage(X) was discontinued on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,When xsd:date(X) was Y(dbo:Beverage) discontinued ?,SELECT ?X WHERE { Y dbo:discontinued ?X.}
discontinue_in_2,verb,discontinue,discontinues,discontinued,in,IntransitivePPFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:gYear,beverage,beverages,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,FALSE,SELECT ?X WHERE { Y dbo:discontinued ?X.}
introduced_on_1,verb,introduce,introduces,introduced,on,IntransitivePPFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date,beverage,beverages,-,-,-,Which dbo:Beverage(X) was introduced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:introduced Y.},-,When xsd:date(X) was Y(dbo:Beverage) introduced ?,SELECT ?X WHERE { Y dbo:introduced ?X.}
introduced_in__2,verb,introduce,introduces,introduced,in,IntransitivePPFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:gYear,beverage,beverages,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:introduced Y.},-,FALSE,SELECT ?X WHERE { Y dbo:introduced ?X.}
open_on_1,verb,open,opens,opened,on,IntransitivePPFrame,domain,range,1,dbo:openingDate,dbo:Bridge,xsd:date,bridge,bridges,-,-,-,Which dbo:Bridge(X) was opened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,When xsd:date(X) was Y(dbo:Bridge) opened ?,SELECT ?X WHERE { Y dbo:openingDate ?X.}
open_in_2,verb,open,opens,opened,in,IntransitivePPFrame,domain,range,1,dbo:openingYear,dbo:Bridge,xsd:gYear,bridge,bridges,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:openingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingYear ?X.}
produced_on_1,verb,produce,produced,produced,on,IntransitivePPFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:date,film,films,-,-,-,Which dbo:Film(X) was produced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Film) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_on_2,verb,produce,produced,produced,on,IntransitivePPFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:date,album,albums,-,-,-,Which dbo:Album(X) was produced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Album) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_on_3,verb,produce,produced,produced,in,IntransitivePPFrame,domain,range,3,dbo:productionDate,dbo:Song,xsd:date,song,songs,-,-,-,Which dbo:Song(X) was produced in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Song) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in_1,verb,produce,produced,produced,in,IntransitivePPFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:gYear,film,films,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in_2,verb,produce,produced,produced,in,IntransitivePPFrame,domain,range,2,dbo:productionDate,dbo:Album,xsd:gYear,album,albums,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in_3,verb,produce,produced,produced,in,IntransitivePPFrame,domain,range,1,dbo:productionDate,dbo:Song,xsd:gYear,song,songs,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
establish_in_1,verb,establish,establishes,established,in,IntransitivePPFrame,domain,range,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,periodical literature,periodical literatures,-,-,-,FALSE,SELECT ?X WHERE { ?X dbo:firstPublicationYear Y.},Which xsd:gYear(X) does Y(dbo:PeriodicalLiterature) establish in?,FALSE,SELECT ?X WHERE { Y dbo:firstPublicationYear ?X.}
form_in_1,verb,form,forms,formed,in,IntransitivePPFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Band,xsd:date,band,bands,-,-,-,Which dbo:Band(X) was formed in Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},Which xsd:date(X) does Y(dbo:Band) form in?,When xsd:date(X) was Y(dbo:Band) formed ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
live_in_1,verb,live,lives,lived,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:Place,person,persons,place,places,What dbo:Person(X) lives in Y(dbo:Place)?,FALSE,SELECT ?X WHERE { ?X dbo:residence Y.},Which dbo:Place(X) does Y(dbo:Person) live in?,FALSE,SELECT ?X WHERE { Y dbo:residence ?X.}
die_on_1,verb,die,dies,died,on,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,person,persons,-,-,-,Which dbo:Person(X) was died on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:deathDate Y.},-,When xsd:date(X) was Y(dbo:Person) died ?,SELECT ?X WHERE { Y dbo:deathDate ?X.}
die_from_1,verb,die,dies,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,person,persons,thing,things,-,FALSE,SELECT ?X WHERE { ?X dbo:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbo:deathCause ?X.}
die_from_2,verb,die,dies,died,from,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease,person,persons,disease,diseases,What dbo:Person(X) dies from Y(dbo:Disease)?,FALSE,SELECT ?X WHERE { ?X dbp:deathCause Y.},-,FALSE,SELECT ?X WHERE { Y dbp:deathCause ?X.}
compose_for_1,verb,compose,composes,composed,for,IntransitivePPFrame,domain,range,1,dbo:musicComposer,dbo:Work,dbo:Person,work,works,person,persons,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:musicComposer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:musicComposer ?X.}
compose_for_2,verb,compose,composes,composed,for,IntransitivePPFrame,domain,range,2,dbo:composer,dbo:Work,dbo:Person,work,works,person,persons,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:composer Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbo:composer ?X.}
compose_for_3,verb,compose,composes,composed,for,IntransitivePPFrame,domain,range,3,dbp:music,dbo:Work,dbo:Person,work,works,person,persons,What dbo:Work(X) composes for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:music Y.},Which dbo:Person(X) does Y(dbo:Work) compose for?,FALSE,SELECT ?X WHERE { Y dbp:music ?X.}
work_for_1,verb,work,works,worked,for,IntransitivePPFrame,domain,range,1,dbo:keyPerson,dbo:Organisation,dbo:Person,organisation,organisations,person,persons,What dbo:Organisation(X) works for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbo:keyPerson Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbo:keyPerson ?X.}
work_for_2,verb,work,works,worked,for,IntransitivePPFrame,domain,range,2,dbp:keyPeople,dbo:Organisation,dbo:Person,organisation,organisations,person,persons,What dbo:Organisation(X) works for Y(dbo:Person)?,FALSE,SELECT ?X WHERE { ?X dbp:keyPeople Y.},Which dbo:Person(X) does Y(dbo:Organisation) work for?,FALSE,SELECT ?X WHERE { Y dbp:keyPeople ?X.}
bury_in_1,verb,bury,buries,buried,in,IntransitivePPFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City,person,persons,city,cities,What dbo:Person(X) buries in Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:burialPlace Y.},Which dbo:City(X) does Y(dbo:Person) bury in?,FALSE,SELECT ?X WHERE { Y dbp:burialPlace ?X.}
start_acting_on_1,verb,start acting,starts acting,started acting,on,IntransitivePPFrame,domain,range,1,dbo:activeYearsStartYear,dbo:Actor,xsd:date,actor,actors,-,-,-,Which dbo:Actor(X) was started acting on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsStartYear Y.},-,When xsd:date(X) was Y(dbo:Actor) started acting ?,SELECT ?X WHERE { Y dbo:activeYearsStartYear ?X.}
stop_acting_on_2,verb,stop acting,stops acting,stopped acting,on,IntransitivePPFrame,domain,range,1,dbo:activeYearsEndYear,dbo:Actor,xsd:date,actor,actors,-,-,-,Which dbo:Actor(X) was stopped acting on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsEndYear Y.},-,When xsd:date(X) was Y(dbo:Actor) stopped acting ?,SELECT ?X WHERE { Y dbo:activeYearsEndYear ?X.}
fight_in_1,verb,fight,fights,fought,in,IntransitivePPFrame,range,domain,1,dbo:combatant,dbo:MilitaryConflict,xsd:string,military conflict,military conflicts,-,-,What xsd:string (Y) fights in X(dbo:MilitaryConflict)? ,FALSE,SELECT ?Y WHERE { X dbo:combatant ?Y.},-,FALSE,SELECT ?X WHERE { ?X dbo:combatant Y.}
play_in_1,verb,play,plays,played,in,IntransitivePPFrame,domain,range,1,dbo:member,dbo:Person,dbo:Band,person,persons,band,bands,What dbo:Person(X) plays in Y(dbo:Band)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Band(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
play_in_2,verb,play,plays,played,in,IntransitivePPFrame,domain,range,2,dbo:member,dbo:Person,dbo:Play,person,persons,play,plays,What dbo:Person(X) plays in Y(dbo:Play)?,FALSE,SELECT ?X WHERE { ?X dbo:member Y.},Which dbo:Play(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:member ?X.}
play_in_3,verb,play,plays,played,in,IntransitivePPFrame,domain,range,3,dbo:position,dbo:Person,owl:Thing,person,persons,thing,things,What dbo:Person(X) plays in Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:position Y.},Which owl:Thing(X) does Y(dbo:Person) play in?,FALSE,SELECT ?X WHERE { Y dbo:position ?X.}
