"QALD id"	"match status"	"QALD question"	"QueGG question"	"QALD SPARQL query"	"QueGG SPARQL query"	"TP"	"FP"	"FN"	"Precision"	"Recall"	"F-Measure"
"10"	"0.7560975609756098"	"Wer war mit Präsident Chirac verheiratet?"	"""wer wird mit Jacques Chirac verheiratet?"""	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}"	"""select  ?s    
{
   ?s <http://dbpedia.org/ontology/spouse>  <http://dbpedia.org/resource/Jacques_Chirac>    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"11"	"0.9090909090909091"	"Woran ist Bruce Carver gestorben?"	"""Wann ist Bruce Carver gestorben?"""	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathDate>  ?o    
}"""	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"
"12"	"0.8269230769230769"	"Wer malte Christus im Sturm auf dem See von Galilea?"	"""wer malte Christus im Sturm auf dem See Genezareth?"""	"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"13"	"0.8108108108108109"	"Durch welche Städte fließt die Weser?"	"""durch Welche Stadt flie�t Weser?"""	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } "	"""select  ?o    
{
    <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city>  ?o    
}"""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"14"	"0.0"	"Wieviele Plätze hat das Heimstadium des FC Porto?"		"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"15"	"0.0"	"Mit wem ist die Tochter von Robert Kennedy verheiratet?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } "		"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"16"	"0.0"	"Welche Bücher von Kerouac wurden von Viking Press verlegt?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } "		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"17"	"0.0"	"Wie groß ist Amazon Eve?"		"SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } "		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"18"	"0.8"	"In welchem Museum ist Der Schrei von Munch ausgestellt?"	"""in Welches Museum ist Der Schrei ausgestellt?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum>  ?o    
}"""	"2.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"19"	"0.7804878048780488"	"Wer schrieb das Buch Die Säulen der Erde?"	"""wer schrieb Die Säulen der Erde?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"20"	"0.0"	"Ist James Bond verheiratet?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"21"	"1.0"	"Wer entdeckte Ceres?"	"""wer entdeckte Ceres?"""	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . }"	"""select  ?o    
{
    <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"22"	"0.8"	"Welchen Fluss überspannt die Brooklyn Bridge?"	"""in Welcher Fluss �berspannt Brooklyn Bridge?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"23"	"0.6666666666666666"	"Wer wurde Frank The Tank genannt?"	"""Wo wurde Frank Herbert gewohnt?"""	"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Frank_Herbert> <http://dbpedia.org/ontology/residence>  ?o    
}"""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"24"	"0.0"	"Was ist das größte Land der Welt?"		"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"25"	"0.8611111111111112"	"Wer ist Bürgermeister von Paris?"	"""wer ist die B�rgermeister von Paris?"""	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . }"	"""select  ?o    
{
    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"26"	"0.0"	"Wer ist der Trainer von Ankaras Eishockeymannschaft?"		"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"27"	"0.0"	"Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"28"	"0.8979591836734694"	"Welche Preise hat Douglas Hofstadter gewonnen?"	"""Welcher Preis hat Douglas R. Hofstadter gewonnen?"""	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award>  ?o    
}"""	"4.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"29"	"0.75"	"Wieviel hat der Legofilm gekostet?"	"""Wieviel hat The LEGO Movie gekostet?"""	"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } "	"""select  ?o    
{
    <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"30"	"0.9565217391304348"	"Wo fängt Piccadilly an?"	"""Wo f�ngt Piccadilly an?"""	"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } "	"""select  ?s    
{
   ?s <http://dbpedia.org/ontology/routeStart>  <http://dbpedia.org/resource/Piccadilly>    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"31"	"0.0"	"Haben Prinz Harry und Prinz William dieselben Eltern?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"32"	"0.7435897435897436"	"Wer hat Agent Smith in Matrix gespielt?"	"""wer hat Agent Smith gespielt?"""	"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/ontology/portrayer>  ?o    
}"""	"2.0"	"0.0"	"1.0"	"1.0"	"0.6666667"	"0.8"
"33"	"1.0"	"Wieviele Sprachen werden in Turkmenistan gesprochen?"	"""Wieviele Sprachen werden in Turkmenistan gesprochen?"""	"SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } "	"""select  ?o    
{
    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?o    
}"""	"0.0"	"3.0"	"1.0"	"0.0"	"0.0"	"0.0"
"34"	"0.0"	"In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } "		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"35"	"0.868421052631579"	"In welchem Land entspringt der Ganges?"	"""in Welches Land entspringt Ganges?"""	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry>  ?o    
}"""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"36"	"0.9130434782608695"	"In welchem Jahr wurde Rachel Stevens geboren?"	"""in Welchem Datum wurde Rachel Stevens geboren?"""	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } "	"""select  ?o    
{
    <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear>  ?o    
}"""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"37"	"0.0"	"Ist Barack Obama ein Demokrat?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"38"	"0.8181818181818182"	"Wo wurde Bach geboren?"	"""Wo wurde Cher geboren?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o    
}"""	"0.0"	"1.0"	"1.0"	"0.0"	"0.0"	"0.0"
"39"	"0.8285714285714286"	"Wie oft hat Jane Fonda geheiratet?"	"""Wieviel hat Jane Fonda verheiratet?"""	"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } "	"""select  ?o    
{
    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?o    
}"""	"0.0"	"3.0"	"1.0"	"0.0"	"0.0"	"0.0"
"40"	"0.7021276595744681"	"Wer hat als erstes den Mount Everest bestiegen?"	"""Welcher Person hat Mount Everest bestiegen?"""	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson>  ?o    
}"""	"2.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"41"	"0.6"	"Wieviele Menschen leben in Polen?"	"""Wieviele Sprachen werden in Polen gesprochen?"""	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  "	"""select  ?o    
{
    <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/language>  ?o    
}"""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"42"	"0.0"	"Wo ist der Westminster-Palast?"		"SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } "		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"43"	"0.0"	"Spielt Christian Bale in Batman Begins mit?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"44"	"0.625"	"In welchem Land befindet sich der Limerick Lake?"	"""in Welche Stadt befindet sich Rüeblitorte?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/locationCity>  ?o    
}"""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"45"	"0.0"	"Was war der letzte Film mit Alec Guinness?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"46"	"0.0"	"Was ist der höchste Berg in Australien?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"47"	"0.0"	"Lebt Frank Herbert noch?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"48"	"0.8"	"Wer hat sich Family Guy ausgedacht?"	"""wer ist Family Guy ausgedacht?"""	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  "	"""select  ?o    
{
    <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"49"	"0.972972972972973"	"Was ist die Amtssprache Von Surinam?"	"""was ist die Amtssprache von Suriname?"""	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}"	"""select  ?o    
{
    <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage>  ?o    
}"""	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"50"	"0.8043478260869565"	"Wer hat das Lied Hotel California geschrieben?"	"""wer hat Hotel California geschrieben?"""	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . }"	"""select  ?o    
{
    <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer>  ?o    
}"""	"3.0"	"0.0"	"0.0"	"1.0"	"1.0"	"1.0"
"51"	"0.0"	"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat."		"SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } "		"0.0"	"0.0"	"19.0"	"0.0"	"0.0"	"0.0"
"52"	"0.0"	"Was ist in Chocolate Chip Cookies drin?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . }"		"0.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"
"53"	"0.0"	"Gib mir alle Profiskateboarder aus Schweden."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"54"	"0.0"	"Welche Zutaten brauche ich für Möhrenkuchen?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } "		"0.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"
"55"	"0.0"	"Spielt Neymar für Real Madrid?"		"ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"56"	"0.58"	"Welcher Informatiker hat einen Oscar gewonnen?"	"""Welcher Wissenschaftlerin wird von Oscar gewonnen?"""	"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } "	"""select  ?s    
{
   ?s <http://dbpedia.org/ontology/award>  <http://dbpedia.org/resource/Academy_Awards>    
}"""	"0.0"	"47.0"	"0.0"	"0.0"	"0.0"	"0.0"
"57"	"0.0"	"Wieviele Firmen wurden im selben Jahr wie Google gegründet?"		"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"58"	"0.0"	"In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?"		"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"59"	"0.0"	"War die Kubakrise vor der Schweinebuchtinvasion?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"60"	"0.0"	"Wofür steht IYCM?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
