"id","question","sparql","answer_uri","answer_label","frame"
"51","Quale persona ha creato  3 in mezzo a noi - I racconti di Arcadia?","select  ?o    {    <http://dbpedia.org/resource/3Below:_Tales_of_Arcadia> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Guillermo_del_Toro","Guillermo del Toro","VP"
"52","Chi creare  3 Will Be Free - Sam rao tong rot?","select  ?o    {    <http://dbpedia.org/resource/3_Will_Be_Free> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"53","Chi ha creato  3 Will Be Free - Sam rao tong rot?","select  ?o    {    <http://dbpedia.org/resource/3_Will_Be_Free> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"54","Quale persona creare  3 Will Be Free - Sam rao tong rot?","select  ?o    {    <http://dbpedia.org/resource/3_Will_Be_Free> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"55","Quale persona ha creato  3 Will Be Free - Sam rao tong rot?","select  ?o    {    <http://dbpedia.org/resource/3_Will_Be_Free> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/GMMTV","GMMTV","VP"
"56","Chi creare  44 gatti serie animata?","select  ?o    {    <http://dbpedia.org/resource/44_Cats> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Iginio_Straffi","Iginio Straffi","VP"
"57","Chi ha creato  44 gatti serie animata?","select  ?o    {    <http://dbpedia.org/resource/44_Cats> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Iginio_Straffi","Iginio Straffi","VP"
"58","Quale persona creare  44 gatti serie animata?","select  ?o    {    <http://dbpedia.org/resource/44_Cats> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Iginio_Straffi","Iginio Straffi","VP"
"59","Quale persona ha creato  44 gatti serie animata?","select  ?o    {    <http://dbpedia.org/resource/44_Cats> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Iginio_Straffi","Iginio Straffi","VP"
"60","Chi creare  6teen?","select  ?o    {    <http://dbpedia.org/resource/6teen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tom_McGillis","Tom McGillis","VP"
"61","Chi ha creato  6teen?","select  ?o    {    <http://dbpedia.org/resource/6teen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tom_McGillis","Tom McGillis","VP"
"62","Quale persona creare  6teen?","select  ?o    {    <http://dbpedia.org/resource/6teen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tom_McGillis","Tom McGillis","VP"
"63","Quale persona ha creato  6teen?","select  ?o    {    <http://dbpedia.org/resource/6teen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tom_McGillis","Tom McGillis","VP"
"64","Chi creare  Settimo cielo serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/7th_Heaven_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Brenda_Hampton","Brenda Hampton","VP"
"65","Chi ha creato  Settimo cielo serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/7th_Heaven_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Brenda_Hampton","Brenda Hampton","VP"
"66","Quale persona creare  Settimo cielo serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/7th_Heaven_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Brenda_Hampton","Brenda Hampton","VP"
"67","Quale persona ha creato  Settimo cielo serie televisiva?","select  ?o    {    <http://dbpedia.org/resource/7th_Heaven_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Brenda_Hampton","Brenda Hampton","VP"
"68","Chi creare  87ª squadra?","select  ?o    {    <http://dbpedia.org/resource/87th_Precinct_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Evan_Hunter","Ed McBain","VP"
"69","Chi ha creato  87ª squadra?","select  ?o    {    <http://dbpedia.org/resource/87th_Precinct_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Evan_Hunter","Ed McBain","VP"
"70","Quale persona creare  87ª squadra?","select  ?o    {    <http://dbpedia.org/resource/87th_Precinct_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Evan_Hunter","Ed McBain","VP"
"71","Quale persona ha creato  87ª squadra?","select  ?o    {    <http://dbpedia.org/resource/87th_Precinct_(TV_series)> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Evan_Hunter","Ed McBain","VP"
"72","Chi creare  9-1-1: Lone Star?","select  ?o    {    <http://dbpedia.org/resource/9-1-1:_Lone_Star> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tim_Minear","Tim Minear","VP"
"73","Chi ha creato  9-1-1: Lone Star?","select  ?o    {    <http://dbpedia.org/resource/9-1-1:_Lone_Star> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tim_Minear","Tim Minear","VP"
"74","Quale persona creare  9-1-1: Lone Star?","select  ?o    {    <http://dbpedia.org/resource/9-1-1:_Lone_Star> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tim_Minear","Tim Minear","VP"
"75","Quale persona ha creato  9-1-1: Lone Star?","select  ?o    {    <http://dbpedia.org/resource/9-1-1:_Lone_Star> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tim_Minear","Tim Minear","VP"
"76","Chi creare  9JKL - Scomodi vicini?","select  ?o    {    <http://dbpedia.org/resource/9JKL> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Mark_Feuerstein","Mark Feuerstein","VP"
"77","Chi ha creato  9JKL - Scomodi vicini?","select  ?o    {    <http://dbpedia.org/resource/9JKL> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Mark_Feuerstein","Mark Feuerstein","VP"
"78","Quale persona creare  9JKL - Scomodi vicini?","select  ?o    {    <http://dbpedia.org/resource/9JKL> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Mark_Feuerstein","Mark Feuerstein","VP"
"79","Quale persona ha creato  9JKL - Scomodi vicini?","select  ?o    {    <http://dbpedia.org/resource/9JKL> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Mark_Feuerstein","Mark Feuerstein","VP"
"80","Chi creare  A.D. - La Bibbia continua?","select  ?o    {    <http://dbpedia.org/resource/A.D._The_Bible_Continues> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Roma_Downey","Roma Downey","VP"
"81","Chi ha creato  A.D. - La Bibbia continua?","select  ?o    {    <http://dbpedia.org/resource/A.D._The_Bible_Continues> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Roma_Downey","Roma Downey","VP"
"82","Quale persona creare  A.D. - La Bibbia continua?","select  ?o    {    <http://dbpedia.org/resource/A.D._The_Bible_Continues> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Roma_Downey","Roma Downey","VP"
"83","Quale persona ha creato  A.D. - La Bibbia continua?","select  ?o    {    <http://dbpedia.org/resource/A.D._The_Bible_Continues> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Roma_Downey","Roma Downey","VP"
"84","Chi creare  ABU Radio Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_Radio_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Marcel_Bezençon","Marcel Bezençon","VP"
"85","Chi ha creato  ABU Radio Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_Radio_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Marcel_Bezençon","Marcel Bezençon","VP"
"86","Quale persona creare  ABU Radio Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_Radio_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Marcel_Bezençon","Marcel Bezençon","VP"
"87","Quale persona ha creato  ABU Radio Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_Radio_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Marcel_Bezençon","Marcel Bezençon","VP"
"88","Chi creare  ABU TV Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_TV_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Asia-Pacific_Broadcasting_Union","Asia-Pacific Broadcasting Union","VP"
"89","Chi ha creato  ABU TV Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_TV_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Asia-Pacific_Broadcasting_Union","Asia-Pacific Broadcasting Union","VP"
"90","Quale persona creare  ABU TV Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_TV_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Asia-Pacific_Broadcasting_Union","Asia-Pacific Broadcasting Union","VP"
"91","Quale persona ha creato  ABU TV Song Festival?","select  ?o    {    <http://dbpedia.org/resource/ABU_TV_Song_Festival> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Asia-Pacific_Broadcasting_Union","Asia-Pacific Broadcasting Union","VP"
"92","Chi creare  AEW Dark?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"93","Chi ha creato  AEW Dark?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"94","Quale persona creare  AEW Dark?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"95","Quale persona ha creato  AEW Dark?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"96","Chi creare  AEW Dark: Elevation?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark:_Elevation> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"97","Chi ha creato  AEW Dark: Elevation?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark:_Elevation> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"98","Quale persona creare  AEW Dark: Elevation?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark:_Elevation> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"99","Quale persona ha creato  AEW Dark: Elevation?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dark:_Elevation> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"100","Chi creare  AEW Dynamite?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dynamite> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"101","Chi ha creato  AEW Dynamite?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dynamite> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"102","Quale persona creare  AEW Dynamite?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dynamite> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"103","Quale persona ha creato  AEW Dynamite?","select  ?o    {    <http://dbpedia.org/resource/AEW_Dynamite> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Tony_Khan","Tony Khan","VP"
"104","Chi creare  AJ and the Queen?","select  ?o    {    <http://dbpedia.org/resource/AJ_and_the_Queen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"105","Chi ha creato  AJ and the Queen?","select  ?o    {    <http://dbpedia.org/resource/AJ_and_the_Queen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"106","Quale persona creare  AJ and the Queen?","select  ?o    {    <http://dbpedia.org/resource/AJ_and_the_Queen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"107","Quale persona ha creato  AJ and the Queen?","select  ?o    {    <http://dbpedia.org/resource/AJ_and_the_Queen> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","VP"
"108","Chi creare  A Bit of Fry and Laurie?","select  ?o    {    <http://dbpedia.org/resource/A_Bit_of_Fry_&_Laurie> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Hugh_Laurie","Hugh Laurie","VP"
"109","Chi ha creato  A Bit of Fry and Laurie?","select  ?o    {    <http://dbpedia.org/resource/A_Bit_of_Fry_&_Laurie> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Hugh_Laurie","Hugh Laurie","VP"
"110","Quale persona creare  A Bit of Fry and Laurie?","select  ?o    {    <http://dbpedia.org/resource/A_Bit_of_Fry_&_Laurie> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Hugh_Laurie","Hugh Laurie","VP"
"111","Quale persona ha creato  A Bit of Fry and Laurie?","select  ?o    {    <http://dbpedia.org/resource/A_Bit_of_Fry_&_Laurie> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Hugh_Laurie","Hugh Laurie","VP"
"112","Chi creare  Garibaldi l'eroe dei due mondi?","select  ?o    {    <http://dbpedia.org/resource/A_Casa_das_Sete_Mulheres> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Letícia_Wierzchowski","Leticia Wierzchowski","VP"
"113","Chi ha creato  Garibaldi l'eroe dei due mondi?","select  ?o    {    <http://dbpedia.org/resource/A_Casa_das_Sete_Mulheres> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Letícia_Wierzchowski","Leticia Wierzchowski","VP"
"114","Quale persona creare  Garibaldi l'eroe dei due mondi?","select  ?o    {    <http://dbpedia.org/resource/A_Casa_das_Sete_Mulheres> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Letícia_Wierzchowski","Leticia Wierzchowski","VP"
"115","Quale persona ha creato  Garibaldi l'eroe dei due mondi?","select  ?o    {    <http://dbpedia.org/resource/A_Casa_das_Sete_Mulheres> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Letícia_Wierzchowski","Leticia Wierzchowski","VP"
"116","Chi creare  Tutti al college?","select  ?o    {    <http://dbpedia.org/resource/A_Different_World> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Bill_Cosby","Bill Cosby","VP"
"117","Chi ha creato  Tutti al college?","select  ?o    {    <http://dbpedia.org/resource/A_Different_World> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Bill_Cosby","Bill Cosby","VP"
"118","Quale persona creare  Tutti al college?","select  ?o    {    <http://dbpedia.org/resource/A_Different_World> <http://dbpedia.org/ontology/creator>  ?o    }","http://dbpedia.org/resource/Bill_Cosby","Bill Cosby","VP"
