"id","question","sparql","answer","frame"
"37","Gib mir die Produzenten von http://dbpedia.org/resource/AM_broadcasting","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"38","Was ist der Produzent von http://dbpedia.org/resource/AM_broadcasting?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"39","Was sind die Produzenten von http://dbpedia.org/resource/AM_broadcasting?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"40","Was war der Produzent von http://dbpedia.org/resource/AM_broadcasting?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"41","Was waren die Produzenten von http://dbpedia.org/resource/AM_broadcasting?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"42","Gib mir den Produzenten von http://dbpedia.org/resource/Alternative_Investment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"43","Gib mir die Produzenten von http://dbpedia.org/resource/Alternative_Investment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"44","Was ist der Produzent von http://dbpedia.org/resource/Alternative_Investment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"45","Was sind die Produzenten von http://dbpedia.org/resource/Alternative_Investment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"46","Was war der Produzent von http://dbpedia.org/resource/Alternative_Investment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"47","Was waren die Produzenten von http://dbpedia.org/resource/Alternative_Investment?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"48","Gib mir den Produzenten von http://dbpedia.org/resource/Alternative_investments","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"49","Gib mir die Produzenten von http://dbpedia.org/resource/Alternative_investments","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"50","Was ist der Produzent von http://dbpedia.org/resource/Alternative_investments?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"51","Was sind die Produzenten von http://dbpedia.org/resource/Alternative_investments?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"52","Was war der Produzent von http://dbpedia.org/resource/Alternative_investments?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"53","Was waren die Produzenten von http://dbpedia.org/resource/Alternative_investments?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"55","der Produzent von http://dbpedia.org/resource/A-segment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"56","die Produzenten von http://dbpedia.org/resource/A-segment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/A-segment>    }","General Motors India","NPP"
"57","der Produzent von http://dbpedia.org/resource/ABS-CBNnews.com","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"58","die Produzenten von http://dbpedia.org/resource/ABS-CBNnews.com","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ABS-CBNnews.com>    }","ABS-CBN Digital Media","NPP"
"59","der Produzent von http://dbpedia.org/resource/ACH_Network","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"60","die Produzenten von http://dbpedia.org/resource/ACH_Network","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/ACH_Network>    }","TransNational Payments","NPP"
"61","der Produzent von http://dbpedia.org/resource/AC_motor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"62","die Produzenten von http://dbpedia.org/resource/AC_motor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"63","der Produzent von http://dbpedia.org/resource/AI_War:_Fleet_Command","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"64","die Produzenten von http://dbpedia.org/resource/AI_War:_Fleet_Command","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_War:_Fleet_Command>    }","Arcen Games","NPP"
"65","der Produzent von http://dbpedia.org/resource/AI_accelerator","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"66","die Produzenten von http://dbpedia.org/resource/AI_accelerator","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AI_accelerator>    }","Arm Holdings","NPP"
"67","der Produzent von http://dbpedia.org/resource/AM_broadcasting","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"68","die Produzenten von http://dbpedia.org/resource/AM_broadcasting","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AM_broadcasting>    }","GatesAir","NPP"
"69","der Produzent von http://dbpedia.org/resource/Alternative_Investment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"70","die Produzenten von http://dbpedia.org/resource/Alternative_Investment","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_Investment>    }","The Blackstone Group","NPP"
"71","der Produzent von http://dbpedia.org/resource/Alternative_investments","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"72","die Produzenten von http://dbpedia.org/resource/Alternative_investments","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Alternative_investments>    }","TCW Group","NPP"
"74","Where is http://dbpedia.org/resource/Luxembourg_(canton) located?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_(canton)> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"75","Where is http://dbpedia.org/resource/Luxembourg_City located?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_City> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"76","Where is http://dbpedia.org/resource/Luzon_Strait located?","select  ?o    {    <http://dbpedia.org/resource/Luzon_Strait> <http://dbpedia.org/ontology/country>  ?o    }","Taiwan","FULL_DATASET"
"77","Where is http://dbpedia.org/resource/Madiromirafy located?","select  ?o    {    <http://dbpedia.org/resource/Madiromirafy> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"78","Where is http://dbpedia.org/resource/Madirovalo located?","select  ?o    {    <http://dbpedia.org/resource/Madirovalo> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"79","Where is http://dbpedia.org/resource/Maevaranohely located?","select  ?o    {    <http://dbpedia.org/resource/Maevaranohely> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"80","Where is http://dbpedia.org/resource/Maevatanana located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"81","Where is http://dbpedia.org/resource/Maevatanana_(district) located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana_(district)> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"82","Where is http://dbpedia.org/resource/Maevatanana_II located?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana_II> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
