"id","question","sparql","answer","frame"
"28","Was war der Produzent von M&M’s?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"29","Was waren die Produzenten von M&M’s?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"30","Gib mir den Produzenten von M16 Gewehr","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"31","Gib mir die Produzenten von M16 Gewehr","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"32","Was ist der Produzent von M16 Gewehr?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"33","Was sind die Produzenten von M16 Gewehr?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"34","Was war der Produzent von M16 Gewehr?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"35","Was waren die Produzenten von M16 Gewehr?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"36","Gib mir den Produzenten von M939 5-Ton-Truck","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"37","Gib mir die Produzenten von M939 5-Ton-Truck","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"38","Was ist der Produzent von M939 5-Ton-Truck?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"39","Was sind die Produzenten von M939 5-Ton-Truck?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"40","Was war der Produzent von M939 5-Ton-Truck?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"41","Was waren die Produzenten von M939 5-Ton-Truck?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"42","Gib mir den Produzenten von MAG Computerspiel","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"43","Gib mir die Produzenten von MAG Computerspiel","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"44","Was ist der Produzent von MAG Computerspiel?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"45","Was sind die Produzenten von MAG Computerspiel?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"46","Was war der Produzent von MAG Computerspiel?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"47","Was waren die Produzenten von MAG Computerspiel?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"48","Gib mir den Produzenten von Matlab","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"49","Gib mir die Produzenten von Matlab","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"50","Was ist der Produzent von Matlab?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"51","Was sind die Produzenten von Matlab?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"52","Was war der Produzent von Matlab?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"53","Was waren die Produzenten von Matlab?","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"55","der Produzent von Wechselstrommotor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"56","die Produzenten von Wechselstrommotor","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    }","Saietta Group","NPP"
"57","der Produzent von Lufia","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"58","die Produzenten von Lufia","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    }","Natsume (company)","NPP"
"59","der Produzent von Bauholz","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"60","die Produzenten von Bauholz","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    }","PotlatchDeltic","NPP"
"61","der Produzent von Luxusgut","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"62","die Produzenten von Luxusgut","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    }","Standun","NPP"
"63","der Produzent von M&M’s","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"64","die Produzenten von M&M’s","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    }","Mars, Incorporated","NPP"
"65","der Produzent von M16 (Gewehr)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"66","die Produzenten von M16 (Gewehr)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M16_rifle>    }","Sabre Defence","NPP"
"67","der Produzent von M939 (5-Ton-Truck)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"68","die Produzenten von M939 (5-Ton-Truck)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M939_series_5-ton_6x6_truck>    }","AM General","NPP"
"69","der Produzent von MAG (Computerspiel)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"70","die Produzenten von MAG (Computerspiel)","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MAG_(video_game)>    }","Zipper Interactive","NPP"
"71","der Produzent von Matlab","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"72","die Produzenten von Matlab","select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/MATLAB>    }","MathWorks","NPP"
"74","Wo liegt Kanton Luxemburg?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_(canton)> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"75","Wo liegt Luxemburg (Stadt)?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_City> <http://dbpedia.org/ontology/country>  ?o    }","Luxembourg","FULL_DATASET"
"76","Wo liegt Luzonstraße?","select  ?o    {    <http://dbpedia.org/resource/Luzon_Strait> <http://dbpedia.org/ontology/country>  ?o    }","Taiwan","FULL_DATASET"
"77","Wo liegt Maevatanana?","select  ?o    {    <http://dbpedia.org/resource/Maevatanana> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"78","Wo liegt Mahabo?","select  ?o    {    <http://dbpedia.org/resource/Mahabo,_Betroka> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"79","Wo liegt Mahaboboka?","select  ?o    {    <http://dbpedia.org/resource/Mahaboboka> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"80","Wo liegt Mahajanga?","select  ?o    {    <http://dbpedia.org/resource/Mahajanga> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"81","Wo liegt Mahajanga (Provinz)?","select  ?o    {    <http://dbpedia.org/resource/Mahajanga_Province> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
"82","Wo liegt Maintirano?","select  ?o    {    <http://dbpedia.org/resource/Maintirano> <http://dbpedia.org/ontology/country>  ?o    }","Madagascar","FULL_DATASET"
