LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
destroy_in,verb,destroy,destroys,destroys,in,InTransitiveFrame,domain,range,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
rebuild_on,verb,rebuild,rebuilds,rebuilt,on,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was rebuilt on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) rebuilt ?,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
rebuild_in,verb,rebuild,rebuilds,rebuilt,in,InTransitiveFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:rebuildingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:rebuildingDate ?X.}
reopen_on,verb,reopen,reopens,reopened,on,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was reopened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) reopened ?,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
reopen_in,verb,reopen,reopens,reopened,in,InTransitiveFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:reopeningDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:reopeningDate ?X.}
discontinue_on,verb,discontinue,discontinues,discontinued,on,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was discontinued on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,When xsd:date(X) was Y(dbo:Beverage) discontinued ?,SELECT ?X WHERE { Y dbo:discontinued ?X.}
discontinue_in,verb,discontinue,discontinues,discontinued,in,InTransitiveFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:discontinued Y.},-,FALSE,SELECT ?X WHERE { Y dbo:discontinued ?X.}
introduced_on,verb,introduce,introduces,introduced,on,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date,-,Which dbo:Beverage(X) was introduced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:introduced Y.},-,When xsd:date(X) was Y(dbo:Beverage) introduced ?,SELECT ?X WHERE { Y dbo:introduced ?X.}
introduced_in,verb,introduce,introduces,introduced,in,InTransitiveFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:introduced Y.},-,FALSE,SELECT ?X WHERE { Y dbo:introduced ?X.}
open_on,verb,open,opens,opened,on,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:Bridge,xsd:date,-,Which dbo:Bridge(X) was opened on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,When xsd:date(X) was Y(dbo:Bridge) opened ?,SELECT ?X WHERE { Y dbo:openingDate ?X.}
open_in,verb,open,opens,opened,in,InTransitiveFrame,domain,range,1,dbo:openingYear,dbo:Bridge,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:openingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingYear ?X.}
produced_on,verb,produce,produced,produced,on,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:date,-,Which dbo:Film(X) was produced on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,When xsd:date(X) was Y(dbo:Film) produced ?,SELECT ?X WHERE { Y dbo:productionDate ?X.}
produced_in,verb,produce,produced,produced,in,InTransitiveFrame,domain,range,1,dbo:productionDate,dbo:Film,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:productionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:productionDate ?X.}
establish_in,verb,establish,establishes,established,in,InTransitiveFrame,domain,range,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:firstPublicationYear Y.},Which xsd:gYear(X) does Y(dbo:PeriodicalLiterature) establish in?,FALSE,SELECT ?X WHERE { Y dbo:firstPublicationYear ?X.}
